type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.521526347826695,0.3279802378993166,0.010000000000000054,0.010000000000000647,0.08935003530767714,0.045758828595163364,8.715151299993112e-17,1.1012379325376161e-15,3
1,train,13.604762125248394,0.1875746140837641,0.010000000000030906,0.010000000000026295,0.22575918667887693,0.10396198158445796,2.8248365743301715e-14,3.432539826465472e-14,3
2,test,13.471281986799346,0.3257053568702021,0.010000000000004021,0.010000000000046352,0.05348942957961449,0.031599511878073756,6.96347854641163e-15,8.027943559809357e-14,3
2,train,13.46319888330401,0.23906620033562823,0.010000000000000002,0.010000000000000002,0.06139744206886073,0.013850436530004655,0.0,0.0,3
3,test,13.47061648384698,0.2582451115073274,0.010000000000000316,0.010000000030387582,0.0586824980661421,0.009241372991432151,5.429615201271348e-16,5.2618607645469374e-11,3
3,train,13.49196946864125,0.12440285797294692,0.010000000000004415,0.010000000000000066,0.2913006125309469,0.056877339825613604,7.642649957806331e-15,1.1092061193728838e-16,3
4,test,13.61583564424113,0.18496253173080132,0.010000000000000281,0.010000000000157426,0.20523504730470518,0.08627155344462961,3.35923277570045e-16,1.4024787077065965e-13,3
4,train,13.603009225295098,0.1598750730349753,0.010000000000000222,0.010000000000000004,0.1890191470433726,0.06820516441510825,3.807115373124776e-16,3.878959614448864e-18,3
5,test,13.53316725563483,0.23395945412768437,0.010000000000000007,0.010000000000000002,0.074431784779829,0.012736519429935577,9.260889149320064e-18,0.0,3
5,train,13.599776580925788,0.143209509482908,0.010000000000128547,0.010000000000302912,0.2712708617959677,0.06727365330756463,1.8178972075144752e-13,4.2837703460886204e-13,2
