,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,5,,,,,,train,0
1,3,13.401100172084076,0.3259208976711421,0.010000000000000002,0.010000000000079006,PsychometricCurve(model='wh'),train,0
2,2,13.391259257028649,0.32238220231773923,0.01466787893803172,0.010000000000000002,PsychometricCurve(model='wh'),train,0
3,4,13.481083603229873,0.3157923947268149,0.010000000000000007,0.010000000000002585,PsychometricCurve(model='wh'),train,0
4,1,13.398206458962699,0.3459814476478421,0.012440802611751083,0.010000000000001058,PsychometricCurve(model='wh'),train,0
5,3,13.366444031024809,0.4525067128825987,0.010061947339663924,0.01000000011039268,PsychometricCurve(model='wh'),test,0
6,5,13.444922223562884,0.3968166578293169,0.025419921228740507,0.010000000004318705,PsychometricCurve(model='wh'),test,0
7,2,13.411895685179047,0.4589756231400639,0.032038885800185754,0.010000000001636667,PsychometricCurve(model='wh'),test,0
8,4,13.503233943076252,0.37154108828443083,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),test,0
9,1,13.393617838734167,0.5103772951037107,0.02715193959590884,0.010000000000000094,PsychometricCurve(model='wh'),test,0
10,5,13.489410878772455,0.39443081813073355,0.010792699213136399,0.010000000000018518,PsychometricCurve(model='wh'),train,1
11,3,13.483264418036322,0.39077898148695783,0.010000000000000002,0.0100000000001979,PsychometricCurve(model='wh'),train,1
12,2,13.455909816426527,0.32704332877688164,0.010000000000000002,0.010000000000000045,PsychometricCurve(model='wh'),train,1
13,4,13.541761378396753,0.35231751668231226,0.010000000000000002,0.010000000000003197,PsychometricCurve(model='wh'),train,1
14,1,13.477354288515112,0.3305860690295157,0.010000000000000177,0.010000000001066453,PsychometricCurve(model='wh'),train,1
15,3,13.435016740546846,0.4568078889505073,0.010000000000000002,0.014155563161112434,PsychometricCurve(model='wh'),test,1
16,5,13.488296732290692,0.4454026841512234,0.014768518458848828,0.01021852498386564,PsychometricCurve(model='wh'),test,1
17,2,13.504516006632764,0.4643516604657956,0.013571887794771942,0.017008250816613838,PsychometricCurve(model='wh'),test,1
18,4,13.5922312932832,0.3872171340207702,0.010000000000000002,0.010000000006339695,PsychometricCurve(model='wh'),test,1
19,1,13.515672576562222,0.47287513226360395,0.01326826674251107,0.014941293802798452,PsychometricCurve(model='wh'),test,1
20,5,13.473138361717853,0.39772237479196854,0.012973050284088032,0.010000000000357426,PsychometricCurve(model='wh'),train,2
21,3,13.477105831661156,0.38135804594862965,0.010000000000000002,0.010000000000000018,PsychometricCurve(model='wh'),train,2
22,2,13.473223144249108,0.4133897878434285,0.014344071690735842,0.011339860885522255,PsychometricCurve(model='wh'),train,2
23,4,13.5491958525118,0.35560927138237625,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,2
24,1,13.479543130372418,0.3999236713966525,0.018486085344548993,0.014968729148655895,PsychometricCurve(model='wh'),train,2
25,3,13.4405456754117,0.44334940291481467,0.010000000000000002,0.010983898138537049,PsychometricCurve(model='wh'),test,2
26,5,13.48027918113122,0.4398181674931067,0.0202753290883461,0.010000000000000012,PsychometricCurve(model='wh'),test,2
27,2,13.422665877485354,0.48236145239251993,0.017960770405172553,0.025539207297970077,PsychometricCurve(model='wh'),test,2
28,4,13.583181380771576,0.3914141690167387,0.010000000000000002,0.011367751835581556,PsychometricCurve(model='wh'),test,2
29,1,13.47772852501368,0.5276529757059825,0.02641297070261447,0.016751564469189115,PsychometricCurve(model='wh'),test,2
