set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.0026603874,0.001831214155542972,3
test,1,12,0.049548388,0.017598356093036387,3
test,1,13,0.19420274,0.04552105680282709,3
test,1,14,0.8489381,0.02588073707858881,3
test,1,15,0.9681721,0.010474632216549287,3
test,1,16,0.9991353,0.00027370785169544896,3
test,2,11,0.0084439395,0.0030925703401389697,3
test,2,12,0.039143,0.018405632649266545,3
test,2,13,0.1850444,0.03276283503895337,3
test,2,14,0.86807436,0.025162420128760563,3
test,2,15,0.9650434,0.017825597651910854,3
test,2,16,0.9986193,0.0008025233939570397,3
test,3,11,6.4740714e-05,5.1930988968350124e-05,3
test,3,12,0.017983424,0.006934334446276169,3
test,3,13,0.18573983,0.02520421902087318,3
test,3,14,0.89325476,0.01608392183166816,3
test,3,15,0.9770548,0.0036458360752617707,3
test,3,16,0.999408,0.000807464642686577,3
test,4,11,0.00011859824,5.785778997418742e-05,3
test,4,12,0.0054466366,0.0005828996346391831,3
test,4,13,0.081483014,0.012841840186583568,3
test,4,14,0.8654352,0.030986722246491682,3
test,4,15,0.98333097,0.006166394039788371,3
test,4,16,0.9994642,0.00018514669057415102,3
test,5,11,0.00011431628,0.0001240031720404429,3
test,5,12,0.0234765,0.005987249267624723,3
test,5,13,0.1510637,0.002935874634671884,3
test,5,14,0.88482326,0.023763421209105132,3
test,5,15,0.9930068,0.0031156988717927865,3
train,1,11,0.002438498,0.0008599187018342963,3
train,1,12,0.024152342,0.01262340980440737,3
train,1,13,0.115714185,0.028528487491960023,3
train,1,14,0.9253179,0.030074587682718347,3
train,1,15,0.9813296,0.011259190385978272,3
train,1,16,0.99873495,0.0010128848019820048,3
train,2,11,0.003200742,0.0013764756455001193,3
train,2,12,0.02481208,0.006316141639021478,3
train,2,13,0.11716276,0.024365063134344365,3
train,2,14,0.9313958,0.03694442360018099,3
train,2,15,0.9850467,0.005297345498526676,3
train,2,16,0.9987841,0.00060408308865913,3
train,3,11,6.866072e-05,4.238348459958752e-05,3
train,3,12,0.009315078,0.0016068426125038816,3
train,3,13,0.115445696,0.0018971146322168057,3
train,3,14,0.9209867,0.03194030912980617,3
train,3,15,0.99077624,0.002670137055736781,3
train,3,16,0.99966925,0.00025927774521329784,3
train,4,11,5.367503e-05,3.776439462411887e-05,3
train,4,12,0.005839161,0.00015753108480478256,3
train,4,13,0.07113146,0.001292083886222612,3
train,4,14,0.9085584,0.02809377855276688,3
train,4,15,0.99086356,0.0054903556516096,3
train,4,16,0.99966,0.00010490893855262004,3
train,5,11,0.00014771216,0.0001756344412748076,3
train,5,12,0.013972536,0.0013048685865898748,3
train,5,13,0.11678489,0.010179120151286847,3
train,5,14,0.9136057,0.02907901191886103,3
train,5,15,0.99604505,0.003059204674748078,3
