,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.0020724544,train,0
1,11,2,0.0041389717,train,0
2,11,3,4.5294306e-05,train,0
3,11,4,1.094068e-05,train,0
4,11,5,1.0517744e-05,train,0
5,12,1,0.024731087,train,0
6,12,2,0.028509445,train,0
7,12,3,0.011154277,train,0
8,12,4,0.00601808,train,0
9,12,5,0.014404844,train,0
10,13,1,0.13449918,train,0
11,13,2,0.124329254,train,0
12,13,3,0.11703875,train,0
13,13,4,0.07255128,train,0
14,13,5,0.10707817,train,0
15,14,1,0.9499531,train,0
16,14,2,0.96123886,train,0
17,14,3,0.95759815,train,0
18,14,4,0.9408339,train,0
19,14,5,0.94704854,train,0
20,15,1,0.990556,train,0
21,15,2,0.99006814,train,0
22,15,3,0.99281365,train,0
23,15,4,0.99700993,train,0
24,15,5,0.9992242,train,0
25,16,1,0.99956113,train,0
26,16,2,0.99940145,train,0
27,16,3,0.9999675,train,0
28,16,4,0.9997321,train,0
29,11,1,0.0046800748,test,0
30,11,2,0.0117031755,test,0
31,11,3,5.6330864e-06,test,0
32,11,4,0.00014842568,test,0
33,11,5,7.604484e-06,test,0
34,12,1,0.059163768,test,0
35,12,2,0.059893616,test,0
36,12,3,0.025804963,test,0
37,12,4,0.0054546143,test,0
38,12,5,0.029367918,test,0
39,13,1,0.23726562,test,0
40,13,2,0.20820546,test,0
41,13,3,0.21433185,test,0
42,13,4,0.09604646,test,0
43,13,5,0.15186158,test,0
44,14,1,0.8786238,test,0
45,14,2,0.89477247,test,0
46,14,3,0.9113541,test,0
47,14,4,0.9012052,test,0
48,14,5,0.91193825,test,0
49,15,1,0.9796932,test,0
50,15,2,0.98267514,test,0
51,15,3,0.98001957,test,0
52,15,4,0.9897418,test,0
53,15,5,0.99516374,test,0
54,16,1,0.9994491,test,0
55,16,2,0.9977593,test,0
56,16,3,0.99996465,test,0
57,16,4,0.9994927,test,0
58,11,1,0.001822164,train,1
59,11,2,0.0016205561,train,1
60,11,3,4.310326e-05,train,1
61,11,4,8.2557584e-05,train,1
62,11,5,8.696206e-05,train,1
63,12,1,0.011249514,train,1
64,12,2,0.017519064,train,1
65,12,3,0.008183457,train,1
66,12,4,0.005721292,train,1
67,12,5,0.012506376,train,1
68,13,1,0.08288629,train,1
69,13,2,0.09001815,train,1
70,13,3,0.11595135,train,1
71,13,4,0.070818484,train,1
72,13,5,0.11589811,train,1
73,14,1,0.93419725,train,1
74,14,2,0.9428739,train,1
75,14,3,0.89882284,train,1
76,14,4,0.8952455,train,1
77,14,5,0.8942824,train,1
78,15,1,0.98464894,train,1
79,15,2,0.985561,train,1
80,15,3,0.9917616,train,1
81,15,4,0.98644483,train,1
82,15,5,0.99312186,train,1
83,16,1,0.99903876,train,1
84,16,2,0.9987567,train,1
85,16,3,0.99949765,train,1
86,16,4,0.99970835,train,1
87,11,1,0.001108333,test,1
88,11,2,0.005550586,test,1
89,11,3,0.00010304345,test,1
90,11,4,5.1913226e-05,test,1
91,11,5,8.499067e-05,test,1
92,12,1,0.029237133,test,1
93,12,2,0.024789466,test,1
94,12,3,0.015556782,test,1
95,12,4,0.006025506,test,1
96,12,5,0.017397813,test,1
97,13,1,0.14656846,test,1
98,13,2,0.1475587,test,1
99,13,3,0.17614754,test,1
100,13,4,0.0717842,test,1
101,13,5,0.14781135,test,1
102,14,1,0.8370757,test,1
103,14,2,0.8447978,test,1
104,14,3,0.88059926,test,1
105,14,4,0.8468043,test,1
106,14,5,0.86762106,test,1
107,15,1,0.96559995,test,1
108,15,2,0.965425,test,1
109,15,3,0.972984,test,1
110,15,4,0.98280895,test,1
111,15,5,0.9894347,test,1
112,16,1,0.99894553,test,1
113,16,2,0.9987505,test,1
114,16,3,0.9984819,test,1
115,16,4,0.99926645,test,1
116,11,1,0.0034208752,train,2
117,11,2,0.0038426984,train,2
118,11,3,0.000117584605,train,2
119,11,4,6.752683e-05,train,2
120,11,5,0.00034565668,train,2
121,12,1,0.036476426,train,2
122,12,2,0.02840773,train,2
123,12,3,0.0086075,train,2
124,12,4,0.0057781115,train,2
125,12,5,0.015006388,train,2
126,13,1,0.12975708,train,2
127,13,2,0.13714086,train,2
128,13,3,0.11334699,train,2
129,13,4,0.07002461,train,2
130,13,5,0.12737839,train,2
131,14,1,0.8918033,train,2
132,14,2,0.8900748,train,2
133,14,3,0.90653914,train,2
134,14,4,0.88959587,train,2
135,14,5,0.89948606,train,2
136,15,1,0.9687839,train,2
137,15,2,0.97951096,train,2
138,15,3,0.98775345,train,2
139,15,4,0.98913586,train,2
140,15,5,0.99578905,train,2
141,16,1,0.9976049,train,2
142,16,2,0.9981942,train,2
143,16,3,0.9995426,train,2
144,16,4,0.9995397,train,2
145,11,1,0.0021927543,test,2
146,11,2,0.008078057,test,2
147,11,3,8.554562e-05,test,2
148,11,4,0.00015545581,test,2
149,11,5,0.00025035368,test,2
150,12,1,0.06024426,test,2
151,12,2,0.03274592,test,2
152,12,3,0.012588526,test,2
153,12,4,0.004859789,test,2
154,12,5,0.02366377,test,2
155,13,1,0.19877411,test,2
156,13,2,0.19936901,test,2
157,13,3,0.1667401,test,2
158,13,4,0.07661838,test,2
159,13,5,0.15351816,test,2
160,14,1,0.8311148,test,2
161,14,2,0.8646528,test,2
162,14,3,0.8878108,test,2
163,14,4,0.848296,test,2
164,14,5,0.87491053,test,2
165,15,1,0.9592231,test,2
166,15,2,0.94703007,test,2
167,15,3,0.97816074,test,2
168,15,4,0.9774422,test,2
169,15,5,0.9944221,test,2
170,16,1,0.99901134,test,2
171,16,2,0.99934816,test,2
172,16,3,0.9997775,test,2
173,16,4,0.99963343,test,2
