type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.539815994121911,0.6214111506476973,0.016118348866440754,0.015563300891528825,0.04588555677126652,0.0742877729516513,0.00668909490197417,0.005250002301095377,3
1,train,13.512220584145462,0.3583763767501578,0.010419355237557876,0.011177088463950357,0.009011678534980687,0.0011692843186907394,0.0004042644612438239,0.0010643456416122832,3
2,test,13.45057325922636,0.4953284994646249,0.016932184091871836,0.02095648691257931,0.051806132536804085,0.026958265210869286,0.004191752105516928,0.006254957304785155,3
2,train,13.481623964638848,0.34821716284924964,0.010000000000048635,0.010793014593504159,0.029239691359994612,0.01690313924354612,8.405519140232521e-14,0.0013735415667436323,3
3,test,13.469644509226839,0.4480750997447321,0.010000000000001058,0.011793173262429507,0.012460052847508993,0.01644237929704988,1.394762444504278e-15,0.000739876296441047,3
3,train,13.50360932989664,0.3328948670245135,0.010000000000000002,0.010000000000475797,0.024926643137675616,0.045674969868941,0.0,8.170469404680493e-13,3
4,test,13.556417183017965,0.34778037199650386,0.010000000000000009,0.010000000003619749,0.031249393360643352,0.0018973657110883605,6.718555132733216e-18,5.718826889658608e-12,3
4,train,13.531272415846994,0.310884545328398,0.010000000000000045,0.01000000000001988,0.008218608833959112,0.03386400401277742,6.40322129530765e-17,2.7020994436294293e-14,3
5,test,13.526139125365793,0.4554813245378239,0.012737308764112444,0.012621066727640526,0.032942731646365145,0.006780394990577594,0.0031055838813483718,0.004539820742209492,3
5,train,13.51318902573906,0.34537146868891877,0.01003998847755197,0.010000000000000054,0.0318884878800823,0.057655342107178036,5.6552247292645735e-05,7.420886695491485e-17,2
