,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,5,,,,,,train,0
1,3,13.481346042247187,0.3538263568027652,0.010000000000000002,0.010000000000007435,PsychometricCurve(model='wh'),train,0
2,2,13.452335951093003,0.35776746886799277,0.010000000000000208,0.010000000000394393,PsychometricCurve(model='wh'),train,0
3,4,13.523035400524464,0.32763265784464257,0.010000000000000118,0.01000000000000899,PsychometricCurve(model='wh'),train,0
4,1,13.501861299729704,0.3570558959077504,0.010806615634708883,0.012071702468763866,PsychometricCurve(model='wh'),train,0
5,3,13.466613214526957,0.4526527404355666,0.010000000000002639,0.0124483781748806,PsychometricCurve(model='wh'),test,0
6,5,13.51089369204886,0.46155734267438325,0.012099721188795038,0.01000000000007418,PsychometricCurve(model='wh'),test,0
7,2,13.444628394703656,0.4947029329280685,0.021153382455134796,0.018403766792000693,PsychometricCurve(model='wh'),test,0
8,4,13.523245249431081,0.3480995359302384,0.010000000000000004,0.010000000000007545,PsychometricCurve(model='wh'),test,0
9,1,13.522383920799738,0.6420561313895369,0.023699200942035495,0.020430565528423206,PsychometricCurve(model='wh'),test,0
10,5,13.49064045971727,0.3861399520645346,0.01007997695510394,0.010000000000000108,PsychometricCurve(model='wh'),train,1
11,3,13.49894233278642,0.364352950971455,0.010000000000000002,0.010000000001419235,PsychometricCurve(model='wh'),train,1
12,2,13.481720849781302,0.3581834431995612,0.010000000000145693,0.012379043780109313,PsychometricCurve(model='wh'),train,1
13,4,13.531309353332713,0.3331110824163991,0.010000000000000014,0.010000000000050645,PsychometricCurve(model='wh'),train,1
14,1,13.518251266782991,0.3592804892209332,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,1
15,3,13.458979788918347,0.4617435893614378,0.010000000000000533,0.011940383217646929,PsychometricCurve(model='wh'),test,1
16,5,13.503580620369748,0.45671944209669185,0.01611220510354219,0.010000000000032278,PsychometricCurve(model='wh'),test,1
17,2,13.401996013430756,0.5225941037923176,0.016872657555856586,0.028084103750192616,PsychometricCurve(model='wh'),test,1
18,4,13.560705113301927,0.3457436652524398,0.010000000000000009,0.010000000010213226,PsychometricCurve(model='wh'),test,1
19,1,13.505201020698108,0.5389844871122309,0.011046516584090152,0.010000000000000004,PsychometricCurve(model='wh'),test,1
20,5,13.535737591760851,0.3046029853133029,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,2
21,3,13.530539614656313,0.2805052932993202,0.010000000000000002,0.010000000000000725,PsychometricCurve(model='wh'),train,2
22,2,13.510815093042236,0.328700576480195,0.010000000000000002,0.010000000000008774,PsychometricCurve(model='wh'),train,2
23,4,13.539472493683808,0.27190989572415225,0.010000000000000002,0.010000000000000002,PsychometricCurve(model='wh'),train,2
24,1,13.51654918592369,0.3587927451217899,0.010451450077964745,0.011459562923087205,PsychometricCurve(model='wh'),train,2
25,3,13.48334052423521,0.42982896943719195,0.010000000000000002,0.010990758394760993,PsychometricCurve(model='wh'),test,2
26,5,13.563943063678767,0.4481671888423966,0.010000000000000108,0.01786320018281512,PsychometricCurve(model='wh'),test,2
27,2,13.50509536954467,0.46868846167348854,0.012770512264624124,0.016381590195544627,PsychometricCurve(model='wh'),test,2
28,4,13.585301186320894,0.34949791480683345,0.010000000000000016,0.010000000000638474,PsychometricCurve(model='wh'),test,2
29,1,13.591863040867889,0.6831928334413238,0.013609329073196614,0.01625933714616327,PsychometricCurve(model='wh'),test,2
