set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.0019182756,0.0027738396451147222,3
test,1,12,0.043791927,0.015793662630912277,3
test,1,13,0.19634828,0.01792879949353024,3
test,1,14,0.76930153,0.045191376528730266,3
test,1,15,0.95406944,0.020514447515866476,3
test,1,16,0.9975656,0.0030517003914604713,3
test,2,11,0.0018627392,0.0015051210636783984,3
test,2,12,0.039197743,0.008856515166483732,3
test,2,13,0.1904627,0.03898293176057294,3
test,2,14,0.85111034,0.007364395565440874,3
test,2,15,0.9559383,0.01375817554958482,3
test,2,16,0.99925464,0.0009072776623635197,3
test,3,11,3.0418381e-05,4.926948617953656e-05,3
test,3,12,0.009858656,0.00381622213230261,3
test,3,13,0.15398398,0.014788276880952085,3
test,3,14,0.8726969,0.003573418711633023,3
test,3,15,0.97682095,0.002029099596459614,3
test,3,16,0.99938476,0.000443275564892212,3
test,4,11,2.7732465e-05,4.437917521045146e-05,3
test,4,12,0.0022464222,0.0015668228368334357,3
test,4,13,0.06417468,0.009809393040442833,3
test,4,14,0.8903482,0.01582537873792452,3
test,4,15,0.9926004,0.0020271020522844795,3
test,4,16,0.99992746,7.576442814914442e-05,3
test,5,11,8.979938e-05,0.0001340754671716091,3
test,5,12,0.013215923,0.00647319829634505,3
test,5,13,0.13408233,0.019884294888942375,3
test,5,14,0.84166235,0.01781293967511706,3
test,5,15,0.9899743,0.007366285131232791,3
train,1,11,0.0011172252,0.0007025457077087417,3
train,1,12,0.018460274,0.005268282835192699,3
train,1,13,0.0852497,0.0031705955129033817,3
train,1,14,0.9039088,0.0038216928999208854,3
train,1,15,0.9792624,0.007900242121781496,3
train,1,16,0.9991515,0.0007160105356853266,3
train,2,11,0.0009472394,8.59913880208698e-05,3
train,2,12,0.014559274,0.005572743455797553,3
train,2,13,0.09239629,0.021478592617825903,3
train,2,14,0.92223686,0.006543900468176375,3
train,2,15,0.9831377,0.005384671217971384,3
train,2,16,0.9988163,0.0008610894839641151,3
train,3,11,3.678697e-05,5.85857761516119e-05,3
train,3,12,0.00452382,0.0027678220538750534,3
train,3,13,0.075849764,0.03217862352843313,3
train,3,14,0.92369354,0.018605359374281465,3
train,3,15,0.9864856,0.0016651982776499745,3
train,3,16,0.9998589,0.00014781649071144784,3
train,4,11,3.2092623e-05,4.794006177512444e-05,3
train,4,12,0.0035916455,0.002828947327769577,3
train,4,13,0.053834327,0.01790922238901011,3
train,4,14,0.92544943,0.01790254128871045,3
train,4,15,0.99430764,0.001014596419786712,3
train,4,16,0.99993575,8.438041872410848e-05,3
train,5,11,0.00020109257,0.0003164004862400988,3
train,5,12,0.009477856,0.0045728469716494625,3
train,5,13,0.08477,0.03217981453559651,3
train,5,14,0.9087763,0.016285786567173482,3
train,5,15,0.9974815,0.001534797794841404,3
