,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.0011509287,train,0
1,11,2,0.0009132661,train,0
2,11,3,0.00010435589,train,0
3,11,4,8.720141e-05,train,0
4,11,5,0.00056580425,train,0
5,12,1,0.02224164,train,0
6,12,2,0.014879432,train,0
7,12,3,0.006780315,train,0
8,12,4,0.0062912856,train,0
9,12,5,0.01255051,train,0
10,13,1,0.08888972,train,0
11,13,2,0.11098824,train,0
12,13,3,0.095115915,train,0
13,13,4,0.06409622,train,0
14,13,5,0.09582707,train,0
15,14,1,0.9083196,train,0
16,14,2,0.9283515,train,0
17,14,3,0.9200822,train,0
18,14,4,0.91872793,train,0
19,14,5,0.9004839,train,0
20,15,1,0.9744209,train,0
21,15,2,0.9880317,train,0
22,15,3,0.9862247,train,0
23,15,4,0.995371,train,0
24,15,5,0.99882734,train,0
25,16,1,0.99846035,train,0
26,16,2,0.99815804,train,0
27,16,3,0.99993485,train,0
28,16,4,0.9999842,train,0
29,11,1,0.0051201056,test,0
30,11,2,0.0025231454,test,0
31,11,3,8.726393e-05,test,0
32,11,4,7.891771e-05,test,0
33,11,5,0.00024394049,test,0
34,12,1,0.05927199,test,0
35,12,2,0.047835633,test,0
36,12,3,0.013427574,test,0
37,12,4,0.003977349,test,0
38,12,5,0.014393249,test,0
39,13,1,0.21579169,test,0
40,13,2,0.19686936,test,0
41,13,3,0.15776211,test,0
42,13,4,0.07507701,test,0
43,13,5,0.14331095,test,0
44,14,1,0.7672216,test,0
45,14,2,0.8570834,test,0
46,14,3,0.87108654,test,0
47,14,4,0.90629697,test,0
48,14,5,0.8484919,test,0
49,15,1,0.946247,test,0
50,15,2,0.9624084,test,0
51,15,3,0.9751787,test,0
52,15,4,0.9947469,test,0
53,15,5,0.9947528,test,0
54,16,1,0.9940471,test,0
55,16,2,0.99823546,test,0
56,16,3,0.99967545,test,0
57,16,4,0.99996287,test,0
58,11,1,0.00039843432,train,1
59,11,2,0.00088342454,train,1
60,11,3,5.852811e-06,train,1
61,11,4,9.067633e-06,train,1
62,11,5,3.7399757e-05,train,1
63,12,1,0.012442757,train,1
64,12,2,0.019965036,train,1
65,12,3,0.0053556766,train,1
66,12,4,0.0038345903,train,1
67,12,5,0.011660404,train,1
68,13,1,0.08309004,train,1
69,13,2,0.09731596,train,1
70,13,3,0.09373169,train,1
71,13,4,0.06425203,train,1
72,13,5,0.10996354,train,1
73,14,1,0.9018209,train,1
74,14,2,0.91533494,train,1
75,14,3,0.90715855,train,1
76,14,4,0.9118804,train,1
77,14,5,0.8983056,train,1
78,15,1,0.98837894,train,1
79,15,2,0.97736937,train,1
80,15,3,0.9849663,train,1
81,15,4,0.9942018,train,1
82,15,5,0.99581003,train,1
83,16,1,0.99989,train,1
84,16,2,0.99850005,train,1
85,16,3,0.99968857,train,1
86,16,4,0.9998383,train,1
87,11,1,0.00024387671,test,1
88,11,2,0.0029247599,test,1
89,11,3,3.975524e-06,test,1
90,11,4,4.2763245e-06,test,1
91,11,5,2.5243573e-05,test,1
92,12,1,0.027702315,test,1
93,12,2,0.039619897,test,1
94,12,3,0.0103126485,test,1
95,12,4,0.0018368684,test,1
96,12,5,0.019019656,test,1
97,13,1,0.18046969,test,1
98,13,2,0.22584544,test,1
99,13,3,0.16651668,test,1
100,13,4,0.061384067,test,1
101,13,5,0.14767544,test,1
102,14,1,0.8154969,test,1
103,14,2,0.85336566,test,1
104,14,3,0.87021196,test,1
105,14,4,0.89009845,test,1
106,14,5,0.8550499,test,1
107,15,1,0.9773443,test,1
108,15,2,0.94013774,test,1
109,15,3,0.9761948,test,1
110,15,4,0.9907188,test,1
111,15,5,0.99367905,test,1
112,16,1,0.9994916,test,1
113,16,2,0.9995542,test,1
114,16,3,0.9996042,test,1
115,16,4,0.9998405,test,1
116,11,1,0.0018023126,train,2
117,11,2,0.0010450275,train,2
118,11,3,1.5221215e-07,train,2
119,11,4,8.824835e-09,train,2
120,11,5,7.369311e-08,train,2
121,12,1,0.020696424,train,2
122,12,2,0.0088333525,train,2
123,12,3,0.0014354674,train,2
124,12,4,0.0006490604,train,2
125,12,5,0.0042226543,train,2
126,13,1,0.08376934,train,2
127,13,2,0.06888467,train,2
128,13,3,0.038701683,train,2
129,13,4,0.033154733,train,2
130,13,5,0.04851938,train,2
131,14,1,0.9015858,train,2
132,14,2,0.92302406,train,2
133,14,3,0.9438398,train,2
134,14,4,0.9457399,train,2
135,14,5,0.9275394,train,2
136,15,1,0.9749873,train,2
137,15,2,0.9840121,train,2
138,15,3,0.9882659,train,2
139,15,4,0.9933501,train,2
140,15,5,0.99780726,train,2
141,16,1,0.99910426,train,2
142,16,2,0.9997908,train,2
143,16,3,0.9999533,train,2
144,16,4,0.9999847,train,2
145,11,1,0.00039084445,test,2
146,11,2,0.00014031226,test,2
147,11,3,1.5690432e-08,test,2
148,11,4,3.366502e-09,test,2
149,11,5,2.1407425e-07,test,2
150,12,1,0.044401474,test,2
151,12,2,0.030137701,test,2
152,12,3,0.0058357446,test,2
153,12,4,0.0009250496,test,2
154,12,5,0.0062348642,test,2
155,13,1,0.19278345,test,2
156,13,2,0.1486733,test,2
157,13,3,0.13767314,test,2
158,13,4,0.05606296,test,2
159,13,5,0.11126062,test,2
160,14,1,0.725186,test,2
161,14,2,0.84288204,test,2
162,14,3,0.8767921,test,2
163,14,4,0.87464917,test,2
164,14,5,0.8214452,test,2
165,15,1,0.93861705,test,2
166,15,2,0.9652686,test,2
167,15,3,0.9790893,test,2
168,15,4,0.9923354,test,2
169,15,5,0.9814911,test,2
170,16,1,0.99915826,test,2
171,16,2,0.99997425,test,2
172,16,3,0.99887455,test,2
173,16,4,0.9999791,test,2
