type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.69441164300578,0.9508441086665805,0.02277935501422051,0.04083726794254439,0.03786991555531883,0.09342758605091268,0.007839939549706637,0.015870317458819772,3
1,train,13.537768841551907,0.3884562079236732,0.01571151983709429,0.029168800926979446,0.03807846508814749,0.035714646597965256,0.0017967181230856607,0.0019338359314060565,2
2,test,13.606654020709565,0.8893487180108766,0.03801074307033329,0.04691834265009311,0.08624688992530412,0.129775230024768,0.014828548847072832,0.005337587079162471,3
2,train,13.56140481927421,0.4384966730480542,0.02316387571900541,0.04087877652121626,0.046770284589747586,0.05341704675139005,0.00791936723866752,0.007982618896090471,3
3,test,13.554978866928929,0.6787551120628427,0.011657879996329496,0.026577117702293027,0.06752055335081861,0.10591150852792054,0.0021711273027184546,0.011177083421986906,3
3,train,13.55605755893619,0.41113070696490345,0.010032130759059168,0.01916019979584181,0.034529933121763896,0.09322167261909924,5.565210717618092e-05,0.010338459498839037,3
4,test,13.57931809844134,0.4954822610915839,0.01936712616959812,0.039583547758054664,0.03940068690467745,0.03464887221436753,0.0073721483486988565,0.010904623797720996,3
4,train,13.577691817688482,0.3643677398069294,0.010000000000007682,0.02335092940636259,0.04504244337409453,0.06455377518845956,1.3297988160206871e-14,0.012055798832774333,3
5,test,13.560409654649575,0.4918390731053937,0.034778095980587044,0.045820439365211185,0.055103165421843035,0.035962401709238374,0.011131341961248573,0.0062660237872481,3
5,train,13.536720347420669,0.36086172051920545,0.016168515211709294,0.03354883624369851,0.03389875819022781,0.06365802560116039,0.002639551221311944,0.014593981494826547,3
