set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.021179212,0.005696954985342755,3
test,1,12,0.07378761,0.015476041203243258,3
test,1,13,0.20960559,0.024516881537224828,3
test,1,14,0.64407533,0.025734196284979916,3
test,1,15,0.8260121,0.02020293233705974,3
test,1,16,0.9595609,0.012150980137483383,3
test,2,11,0.026692985,0.010689443576525931,3
test,2,12,0.104609616,0.020473494966848332,3
test,2,13,0.24276629,0.0237353626359003,3
test,2,14,0.6742718,0.05222880535101041,3
test,2,15,0.8632588,0.0153242674122445,3
test,2,16,0.9541289,0.018276226077396766,3
test,3,11,0.003765701,0.002115577750379125,3
test,3,12,0.030824099,0.003631089141400277,3
test,3,13,0.20607042,0.008730322652650798,3
test,3,14,0.7361149,0.057373232716197,3
test,3,15,0.9320786,0.027878200575090842,3
test,3,16,0.98502356,0.006314705346923606,3
test,4,11,0.0011154318,0.0003155830502535071,3
test,4,12,0.040170923,0.01609151729174578,3
test,4,13,0.13188569,0.029185387017855766,3
test,4,14,0.77596897,0.03072500397656434,3
test,4,15,0.92625946,0.015575220936621587,3
test,4,16,0.98433083,0.012252711946373923,3
test,5,11,0.00503896,0.0009767546302208946,3
test,5,12,0.047705844,0.014953047207097532,3
test,5,13,0.15177107,0.017082844872658282,3
test,5,14,0.7831679,0.04413929739407005,3
test,5,15,0.94871193,0.012057696006572527,3
train,1,11,0.0068673524,0.002077688025045017,3
train,1,12,0.026223006,0.0033682642342319543,3
train,1,13,0.109607816,0.02556862830982502,3
train,1,14,0.81407076,0.08118472961588762,3
train,1,15,0.9374776,0.02956218567895719,3
train,1,16,0.97884977,0.007806633475879806,3
train,2,11,0.008279936,0.0043503044669643215,3
train,2,12,0.041557506,0.012399781162587721,3
train,2,13,0.11573787,0.007806707251174587,3
train,2,14,0.8117535,0.05658255834805466,3
train,2,15,0.9278215,0.016107387839946564,3
train,2,16,0.98403555,0.00479596614061259,3
train,3,11,0.0018836902,0.0012970038913697102,3
train,3,12,0.016300077,0.0034276941297251913,3
train,3,13,0.09327258,0.03258364861476541,3
train,3,14,0.8483757,0.07312303567100308,3
train,3,15,0.9639182,0.022110470135346446,3
train,3,16,0.99433005,0.0038835557448525034,3
train,4,11,0.00090170745,0.0005354907631336395,3
train,4,12,0.010761719,0.0013704519276121255,3
train,4,13,0.064222164,0.020270388619831874,3
train,4,14,0.85814095,0.06892455398170957,3
train,4,15,0.9610201,0.018810401120484217,3
train,4,16,0.9903766,0.006650965372235077,3
train,5,11,0.0035057925,0.002736286208062206,3
train,5,12,0.020688713,0.002654119958680017,3
train,5,13,0.080306165,0.021289432487610352,3
train,5,14,0.8714536,0.062487112847700726,3
train,5,15,0.9657735,0.015732417888450197,3
