,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.0054687764,train,0
1,11,2,0.0072988,train,0
2,11,3,0.0033597564,train,0
3,11,4,0.00050202245,train,0
4,11,5,0.0050611123,train,0
5,12,1,0.030009713,train,0
6,12,2,0.044835284,train,0
7,12,3,0.015667094,train,0
8,12,4,0.01163276,train,0
9,12,5,0.022372888,train,0
10,13,1,0.13904794,train,0
11,13,2,0.12303244,train,0
12,13,3,0.1304545,train,0
13,13,4,0.08541449,train,0
14,13,5,0.104881115,train,0
15,14,1,0.7253702,train,0
16,14,2,0.75389475,train,0
17,14,3,0.76405257,train,0
18,14,4,0.7804297,train,0
19,14,5,0.8009918,train,0
20,15,1,0.9034814,train,0
21,15,2,0.909593,train,0
22,15,3,0.93946415,train,0
23,15,4,0.9399213,train,0
24,15,5,0.9479772,train,0
25,16,1,0.9698395,train,0
26,16,2,0.9785137,train,0
27,16,3,0.990795,train,0
28,16,4,0.9827012,train,0
29,11,1,0.023930557,test,0
30,11,2,0.037556436,test,0
31,11,3,0.002434844,test,0
32,11,4,0.00081855786,test,0
33,11,5,0.0044216607,test,0
34,12,1,0.05643262,test,0
35,12,2,0.0923243,test,0
36,12,3,0.031094149,test,0
37,12,4,0.03701986,test,0
38,12,5,0.041397225,test,0
39,13,1,0.19141923,test,0
40,13,2,0.2271645,test,0
41,13,3,0.21169312,test,0
42,13,4,0.110775545,test,0
43,13,5,0.14403656,test,0
44,14,1,0.6270741,test,0
45,14,2,0.62994236,test,0
46,14,3,0.67140007,test,0
47,14,4,0.74499506,test,0
48,14,5,0.7382056,test,0
49,15,1,0.80976844,test,0
50,15,2,0.8466153,test,0
51,15,3,0.91181767,test,0
52,15,4,0.91125154,test,0
53,15,5,0.93584764,test,0
54,16,1,0.9490523,test,0
55,16,2,0.934249,test,0
56,16,3,0.9828149,test,0
57,16,4,0.97168297,test,0
58,11,1,0.0092547685,train,1
59,11,2,0.013037023,train,1
60,11,3,0.0013650671,train,1
61,11,4,0.001510132,train,1
62,11,5,0.005109938,train,1
63,12,1,0.025098316,train,1
64,12,2,0.05198911,train,1
65,12,3,0.020000145,train,1
66,12,4,0.01147036,train,1
67,12,5,0.022064058,train,1
68,13,1,0.092960514,train,1
69,13,2,0.11667714,train,1
70,13,3,0.07966389,train,1
71,13,4,0.06223139,train,1
72,13,5,0.06747658,train,1
73,14,1,0.8846912,train,1
74,14,2,0.8669671,train,1
75,14,3,0.8943037,train,1
76,14,4,0.9118733,train,1
77,14,5,0.92013776,train,1
78,15,1,0.95180786,train,1
79,15,2,0.94013554,train,1
80,15,3,0.9697914,train,1
81,15,4,0.9760374,train,1
82,15,5,0.9715131,train,1
83,16,1,0.983121,train,1
84,16,2,0.98643136,train,1
85,16,3,0.9937081,train,1
86,16,4,0.99444103,train,1
87,11,1,0.024978274,test,1
88,11,2,0.026336027,test,1
89,11,3,0.006205188,test,1
90,11,4,0.0014468771,test,1
91,11,5,0.006165079,test,1
92,12,1,0.07877577,test,1
93,12,2,0.12824419,test,1
94,12,3,0.034312624,test,1
95,12,4,0.057604894,test,1
96,12,5,0.06477937,test,1
97,13,1,0.19990994,test,1
98,13,2,0.23105295,test,1
99,13,3,0.21050528,test,1
100,13,4,0.16519067,test,1
101,13,5,0.17135318,test,1
102,14,1,0.67368203,test,1
103,14,2,0.7318487,test,1
104,14,3,0.7561971,test,1
105,14,4,0.77647305,test,1
106,14,5,0.8264354,test,1
107,15,1,0.81963336,test,1
108,15,2,0.86637664,test,1
109,15,3,0.92054534,test,1
110,15,4,0.92518085,test,1
111,15,5,0.9505321,test,1
112,16,1,0.9567639,test,1
113,16,2,0.97020173,test,1
114,16,3,0.9801099,test,1
115,16,4,0.98516357,test,1
116,11,1,0.0058785123,train,2
117,11,2,0.004503987,train,2
118,11,3,0.0009262474,train,2
119,11,4,0.0006929679,train,2
120,11,5,0.000346327,train,2
121,12,1,0.02356099,train,2
122,12,2,0.02784813,train,2
123,12,3,0.013232993,train,2
124,12,4,0.009182038,train,2
125,12,5,0.01762919,train,2
126,13,1,0.096815,train,2
127,13,2,0.10750402,train,2
128,13,3,0.069699354,train,2
129,13,4,0.045020618,train,2
130,13,5,0.06856081,train,2
131,14,1,0.83215094,train,2
132,14,2,0.81439865,train,2
133,14,3,0.88677084,train,2
134,14,4,0.8821199,train,2
135,14,5,0.89323115,train,2
136,15,1,0.95714355,train,2
137,15,2,0.933736,train,2
138,15,3,0.9824991,train,2
139,15,4,0.96710163,train,2
140,15,5,0.9778303,train,2
141,16,1,0.9835889,train,2
142,16,2,0.9871616,train,2
143,16,3,0.99848706,train,2
144,16,4,0.99398756,train,2
145,11,1,0.014628806,test,2
146,11,2,0.01618649,test,2
147,11,3,0.002657071,test,2
148,11,4,0.0010808605,test,2
149,11,5,0.0045301407,test,2
150,12,1,0.08615443,test,2
151,12,2,0.09326035,test,2
152,12,3,0.027065525,test,2
153,12,4,0.02588802,test,2
154,12,5,0.036940936,test,2
155,13,1,0.23748758,test,2
156,13,2,0.27008143,test,2
157,13,3,0.19601287,test,2
158,13,4,0.11969086,test,2
159,13,5,0.13992347,test,2
160,14,1,0.6314698,test,2
161,14,2,0.66102433,test,2
162,14,3,0.78074753,test,2
163,14,4,0.80643886,test,2
164,14,5,0.7848627,test,2
165,15,1,0.8486345,test,2
166,15,2,0.8767843,test,2
167,15,3,0.96387273,test,2
168,15,4,0.9423459,test,2
169,15,5,0.9597561,test,2
170,16,1,0.9728665,test,2
171,16,2,0.957936,test,2
172,16,3,0.99214596,test,2
173,16,4,0.9961459,test,2
