,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.045943886,train,0
1,11,2,0.053849675,train,0
2,11,3,0.020027857,train,0
3,11,4,0.013409808,train,0
4,11,5,0.030268205,train,0
5,12,1,0.13226299,train,0
6,12,2,0.16825467,train,0
7,12,3,0.08377957,train,0
8,12,4,0.08280763,train,0
9,12,5,0.13307697,train,0
10,13,1,0.36766702,train,0
11,13,2,0.35521406,train,0
12,13,3,0.3325064,train,0
13,13,4,0.28882343,train,0
14,13,5,0.3552848,train,0
15,14,1,0.7812535,train,0
16,14,2,0.74707115,train,0
17,14,3,0.7773718,train,0
18,14,4,0.76210773,train,0
19,14,5,0.8125946,train,0
20,15,1,0.90378654,train,0
21,15,2,0.8933156,train,0
22,15,3,0.9479798,train,0
23,15,4,0.9348661,train,0
24,15,5,0.95175946,train,0
25,16,1,0.98103905,train,0
26,16,2,0.9719452,train,0
27,16,3,0.988629,train,0
28,16,4,0.9878783,train,0
29,11,1,0.066243544,test,0
30,11,2,0.07533901,test,0
31,11,3,0.029686032,test,0
32,11,4,0.020820485,test,0
33,11,5,0.038898937,test,0
34,12,1,0.17277685,test,0
35,12,2,0.21714425,test,0
36,12,3,0.10430191,test,0
37,12,4,0.10489492,test,0
38,12,5,0.18891685,test,0
39,13,1,0.40698278,test,0
40,13,2,0.41689906,test,0
41,13,3,0.3518143,test,0
42,13,4,0.29471198,test,0
43,13,5,0.4088726,test,0
44,14,1,0.716437,test,0
45,14,2,0.71036977,test,0
46,14,3,0.7330562,test,0
47,14,4,0.6938405,test,0
48,14,5,0.7494799,test,0
49,15,1,0.8581096,test,0
50,15,2,0.8605824,test,0
51,15,3,0.9272007,test,0
52,15,4,0.9190701,test,0
53,15,5,0.9413018,test,0
54,16,1,0.9677866,test,0
55,16,2,0.95092905,test,0
56,16,3,0.9823483,test,0
57,16,4,0.9837955,test,0
58,11,1,0.034882925,train,1
59,11,2,0.027883323,train,1
60,11,3,0.0052221394,train,1
61,11,4,0.0033437968,train,1
62,11,5,0.0053452672,train,1
63,12,1,0.081658736,train,1
64,12,2,0.06064712,train,1
65,12,3,0.03135901,train,1
66,12,4,0.027186735,train,1
67,12,5,0.055525314,train,1
68,13,1,0.17907551,train,1
69,13,2,0.15169618,train,1
70,13,3,0.16706601,train,1
71,13,4,0.1257528,train,1
72,13,5,0.16911,train,1
73,14,1,0.83634967,train,1
74,14,2,0.7906366,train,1
75,14,3,0.77177876,train,1
76,14,4,0.75448394,train,1
77,14,5,0.81508213,train,1
78,15,1,0.91951305,train,1
79,15,2,0.89713407,train,1
80,15,3,0.94098926,train,1
81,15,4,0.9335292,train,1
82,15,5,0.9396488,train,1
83,16,1,0.9653805,train,1
84,16,2,0.96229464,train,1
85,16,3,0.9828483,train,1
86,16,4,0.9824091,train,1
87,11,1,0.073238164,test,1
88,11,2,0.07790114,test,1
89,11,3,0.0076705106,test,1
90,11,4,0.012633995,test,1
91,11,5,0.009194448,test,1
92,12,1,0.21837512,test,1
93,12,2,0.17768903,test,1
94,12,3,0.061424326,test,1
95,12,4,0.04855113,test,1
96,12,5,0.1241523,test,1
97,13,1,0.36503845,test,1
98,13,2,0.3616877,test,1
99,13,3,0.24809198,test,1
100,13,4,0.21712556,test,1
101,13,5,0.32602128,test,1
102,14,1,0.62582135,test,1
103,14,2,0.5601601,test,1
104,14,3,0.65770245,test,1
105,14,4,0.62039125,test,1
106,14,5,0.64688855,test,1
107,15,1,0.7529864,test,1
108,15,2,0.81405544,test,1
109,15,3,0.8558669,test,1
110,15,4,0.85277635,test,1
111,15,5,0.88389045,test,1
112,16,1,0.9197842,test,1
113,16,2,0.9079724,test,1
114,16,3,0.9624819,test,1
115,16,4,0.9589473,test,1
116,11,1,0.04059475,train,2
117,11,2,0.03200055,train,2
118,11,3,0.012158201,train,2
119,11,4,0.010254079,train,2
120,11,5,0.01718407,train,2
121,12,1,0.084772594,train,2
122,12,2,0.10064554,train,2
123,12,3,0.047212742,train,2
124,12,4,0.04500789,train,2
125,12,5,0.0907869,train,2
126,13,1,0.24234822,train,2
127,13,2,0.24557057,train,2
128,13,3,0.24807143,train,2
129,13,4,0.20380858,train,2
130,13,5,0.29637647,train,2
131,14,1,0.79946184,train,2
132,14,2,0.79367244,train,2
133,14,3,0.76318234,train,2
134,14,4,0.7363576,train,2
135,14,5,0.78995365,train,2
136,15,1,0.9054889,train,2
137,15,2,0.90284586,train,2
138,15,3,0.93868595,train,2
139,15,4,0.9257407,train,2
140,15,5,0.94447845,train,2
141,16,1,0.9677668,train,2
142,16,2,0.96977764,train,2
143,16,3,0.98932505,train,2
144,16,4,0.9880913,train,2
145,11,1,0.08794934,test,2
146,11,2,0.08762687,test,2
147,11,3,0.01843409,test,2
148,11,4,0.0136818625,test,2
149,11,5,0.024910372,test,2
150,12,1,0.19576874,test,2
151,12,2,0.22269234,test,2
152,12,3,0.07362741,test,2
153,12,4,0.071135774,test,2
154,12,5,0.15432559,test,2
155,13,1,0.37981313,test,2
156,13,2,0.42991704,test,2
157,13,3,0.29220814,test,2
158,13,4,0.2686901,test,2
159,13,5,0.38102692,test,2
160,14,1,0.64391905,test,2
161,14,2,0.63188875,test,2
162,14,3,0.6624242,test,2
163,14,4,0.6621275,test,2
164,14,5,0.71530104,test,2
165,15,1,0.7718085,test,2
166,15,2,0.7758876,test,2
167,15,3,0.9015998,test,2
168,15,4,0.8902284,test,2
169,15,5,0.9141503,test,2
170,16,1,0.9285585,test,2
171,16,2,0.9220479,test,2
172,16,3,0.9838914,test,2
173,16,4,0.9701266,test,2
