,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,1,,,,,,train,0
1,2,13.530428636140902,0.5365054097376102,0.04006647455261981,0.04999999999963992,PsychometricCurve(model='wh'),train,0
2,3,13.5870188889215,0.6576115254393706,0.012857279077994277,0.03955393485991006,PsychometricCurve(model='wh'),train,0
3,5,13.549064302926878,0.5376157905906738,0.04483310921635489,0.04999999999999999,PsychometricCurve(model='wh'),train,0
4,4,13.57475729179612,0.6217390775167984,0.011327307715902507,0.04581344601089007,PsychometricCurve(model='wh'),train,0
5,4,13.666875373167844,0.9316616768650381,0.0100000000081599,0.049999999999960146,PsychometricCurve(model='wh'),test,0
6,5,13.645176080775416,1.0062357377490625,0.04999999996273855,0.024626538888379002,PsychometricCurve(model='wh'),test,0
7,3,13.698633442305512,1.0014902635181988,0.010000000338965625,0.049999999983582954,PsychometricCurve(model='wh'),test,0
8,1,13.631442607814577,1.8838829831433064,0.045804538967937306,0.04999999999825402,PsychometricCurve(model='wh'),test,0
9,2,13.558614962608885,1.406902794701889,0.01633484789581579,0.03801854059534658,PsychometricCurve(model='wh'),test,0
10,1,13.534896201338322,0.44084976029904,0.0499999999641057,0.049999999998061935,PsychometricCurve(model='wh'),train,1
11,2,13.54596752882994,0.4198243792496274,0.04999999981682099,0.04999999999999937,PsychometricCurve(model='wh'),train,1
12,3,13.55404449711011,0.43800538264809413,0.016016679107924304,0.028501296289456097,PsychometricCurve(model='wh'),train,1
13,5,13.541716852136801,0.3863786657451166,0.03869647621313149,0.03992148730445521,PsychometricCurve(model='wh'),train,1
14,4,13.587663204522606,0.4385765766747363,0.013220557136035859,0.032331704043307805,PsychometricCurve(model='wh'),train,1
15,4,13.627274162431023,0.8962600128442265,0.010727487429763238,0.03261550165290471,PsychometricCurve(model='wh'),test,1
16,5,13.611139067948372,0.976016250803311,0.04999999999979604,0.013936462738074563,PsychometricCurve(model='wh'),test,1
17,3,13.668774179117255,0.9635023904479069,0.016872959322573225,0.043640280297985064,PsychometricCurve(model='wh'),test,1
18,1,13.754026405417028,1.8440682060276978,0.049999999994184065,0.04927780454234822,PsychometricCurve(model='wh'),test,1
19,2,13.551676037503379,1.5381343438190247,0.023795344177565035,0.04999999987739605,PsychometricCurve(model='wh'),test,1
20,1,13.374275394189,0.556544382369143,0.04951505509392841,0.030995107923669864,PsychometricCurve(model='wh'),train,2
21,2,13.295678187863308,0.6054249605106401,0.04999999999999993,0.03326026280766334,PsychometricCurve(model='wh'),train,2
22,3,13.374016797973136,0.6393716153757001,0.026070453807798877,0.021897740245142985,PsychometricCurve(model='wh'),train,2
23,5,13.37088772386401,0.5936277784801802,0.04999999999976927,0.024922957145697033,PsychometricCurve(model='wh'),train,2
24,4,13.415327622714265,0.5890339052557808,0.025239467710764213,0.02181735107640477,PsychometricCurve(model='wh'),train,2
25,4,13.422272865042816,0.9085754275019965,0.031343836939926005,0.025707735673181027,PsychometricCurve(model='wh'),test,2
26,5,13.34094434507628,1.0767812238313783,0.0495230293417914,0.010000000000000116,PsychometricCurve(model='wh'),test,2
27,3,13.37342541657284,0.9478277488314605,0.017017667732831462,0.02531841133274725,PsychometricCurve(model='wh'),test,2
28,1,13.387309659607133,1.3623415032332307,0.02196699524437066,0.010000000000531969,PsychometricCurve(model='wh'),test,2
29,2,13.078302132761527,1.3930073516266233,0.04657997884585091,0.043620520044655234,PsychometricCurve(model='wh'),test,2
