set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.096335724,0.038571293002440915,3
test,1,12,0.2076554,0.01152441074268979,3
test,1,13,0.3618626,0.016822477514653055,3
test,1,14,0.6035254,0.08250750348575175,3
test,1,15,0.78439814,0.06504344750785805,3
test,1,16,0.8863228,0.07143773931061652,3
test,2,11,0.0723923,0.03253472821092175,3
test,2,12,0.19710897,0.04769980133805305,3
test,2,13,0.3761343,0.09079195061561723,3
test,2,14,0.65909886,0.06273656082831243,3
test,2,15,0.81517863,0.057783517085416174,3
test,2,16,0.922218,0.02132392176507441,3
test,3,11,0.011642627,0.006090527848515235,3
test,3,12,0.07550254,0.021018939101637053,3
test,3,13,0.2657693,0.06528769692892863,3
test,3,14,0.6593795,0.06797890934773736,3
test,3,15,0.8730216,0.05352077935612258,3
test,3,16,0.9560345,0.01520089839082645,3
test,4,11,0.012485115,0.005211256339814968,3
test,4,12,0.07259833,0.03893011347996391,3
test,4,13,0.2549354,0.04871712081535659,3
test,4,14,0.6767431,0.06390316011965559,3
test,4,15,0.8840738,0.025713267809355667,3
test,4,16,0.97078294,0.018784133819298658,3
test,5,11,0.019223677,0.006720076118569753,3
test,5,12,0.14706703,0.027280510329428256,3
test,5,13,0.3167014,0.0626847378548697,3
test,5,14,0.6880629,0.04853148394017839,3
test,5,15,0.9120359,0.026661406724456774,3
train,1,11,0.037591465,0.010258267954912045,3
train,1,12,0.07823496,0.004644231032108191,3
train,1,13,0.2018718,0.06559631474877066,3
train,1,14,0.8223022,0.029581494660943203,3
train,1,15,0.9106426,0.02722247943021967,3
train,1,16,0.9596939,0.02317333588552689,3
train,2,11,0.03495583,0.016360602899873317,3
train,2,12,0.08735413,0.03019364663540586,3
train,2,13,0.21475366,0.09698142314788803,3
train,2,14,0.8235694,0.04370644209770869,3
train,2,15,0.92015594,0.017647361483127462,3
train,2,16,0.97327393,0.006329750723682329,3
train,3,11,0.006873392,0.003015756270031139,3
train,3,12,0.041063957,0.018751805444608204,3
train,3,13,0.19474077,0.0863762670669875,3
train,3,14,0.78879124,0.06421860120583463,3
train,3,15,0.94271284,0.018298194212698807,3
train,3,16,0.9845728,0.007357415037582783,3
train,4,11,0.004301111,0.00289659505047979,3
train,4,12,0.038046908,0.016562549618433516,3
train,4,13,0.17409652,0.0757924639564611,3
train,4,14,0.7864232,0.05194241515795697,3
train,4,15,0.9371276,0.02800569900261947,3
train,4,16,0.9866838,0.002886044941115078,3
train,5,11,0.013352104,0.004963203362965655,3
train,5,12,0.073017485,0.03332349988793018,3
train,5,13,0.19542931,0.08936996031473782,3
train,5,14,0.82236606,0.04635734385920649,3
train,5,15,0.95359826,0.016609556173739517,3
