,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.04369537,train,0
1,11,2,0.01933885,train,0
2,11,3,0.005167435,train,0
3,11,4,0.0024999655,train,0
4,11,5,0.012898328,train,0
5,12,1,0.07781497,train,0
6,12,2,0.068540595,train,0
7,12,3,0.03177153,train,0
8,12,4,0.03079281,train,0
9,12,5,0.058583762,train,0
10,13,1,0.1792756,train,0
11,13,2,0.18415225,train,0
12,13,3,0.18425082,train,0
13,13,4,0.17302127,train,0
14,13,5,0.18318874,train,0
15,14,1,0.79411715,train,0
16,14,2,0.77939045,train,0
17,14,3,0.71465796,train,0
18,14,4,0.7283659,train,0
19,14,5,0.7689127,train,0
20,15,1,0.8986738,train,0
21,15,2,0.9060642,train,0
22,15,3,0.9221478,train,0
23,15,4,0.9062954,train,0
24,15,5,0.9347412,train,0
25,16,1,0.94689167,train,0
26,16,2,0.9721841,train,0
27,16,3,0.9761386,train,0
28,16,4,0.9833692,train,0
29,11,1,0.12136048,test,0
30,11,2,0.046332777,test,0
31,11,3,0.005571735,test,0
32,11,4,0.00716785,test,0
33,11,5,0.019417865,test,0
34,12,1,0.21733859,test,0
35,12,2,0.14998539,test,0
36,12,3,0.056657147,test,0
37,12,4,0.051512584,test,0
38,12,5,0.12785377,test,0
39,13,1,0.3777827,test,0
40,13,2,0.3363826,test,0
41,13,3,0.2220592,test,0
42,13,4,0.22448036,test,0
43,13,5,0.27834275,test,0
44,14,1,0.5695193,test,0
45,14,2,0.6093101,test,0
46,14,3,0.6178844,test,0
47,14,4,0.6210059,test,0
48,14,5,0.6485438,test,0
49,15,1,0.7485724,test,0
50,15,2,0.81660503,test,0
51,15,3,0.821945,test,0
52,15,4,0.8650356,test,0
53,15,5,0.8880596,test,0
54,16,1,0.8464806,test,0
55,16,2,0.92264,test,0
56,16,3,0.9433122,test,0
57,16,4,0.9490957,test,0
58,11,1,0.04333092,train,1
59,11,2,0.033558242,train,1
60,11,3,0.0050972896,train,1
61,11,4,0.0027609533,train,1
62,11,5,0.008631372,train,1
63,12,1,0.073814996,train,1
64,12,2,0.07134054,train,1
65,12,3,0.028772984,train,1
66,12,4,0.02634909,train,1
67,12,5,0.04934411,train,1
68,13,1,0.1505605,train,1
69,13,2,0.13676415,train,1
70,13,3,0.114088535,train,1
71,13,4,0.09884741,train,1
72,13,5,0.11281056,train,1
73,14,1,0.81968355,train,1
74,14,2,0.8245303,train,1
75,14,3,0.8243681,train,1
76,14,4,0.80241245,train,1
77,14,5,0.85155344,train,1
78,15,1,0.8914552,train,1
79,15,2,0.91445434,train,1
80,15,3,0.94879603,train,1
81,15,4,0.94409674,train,1
82,15,5,0.95999587,train,1
83,16,1,0.94574606,train,1
84,16,2,0.9675598,train,1
85,16,3,0.98967284,train,1
86,16,4,0.98804253,train,1
87,11,1,0.115730494,test,1
88,11,2,0.06198737,test,1
89,11,3,0.011603545,test,1
90,11,4,0.012704031,test,1
91,11,5,0.012408612,test,1
92,12,1,0.2107188,test,1
93,12,2,0.19597667,test,1
94,12,3,0.07168008,test,1
95,12,4,0.04875956,test,1
96,12,5,0.13505504,test,1
97,13,1,0.34426364,test,1
98,13,2,0.3119981,test,1
99,13,3,0.23443079,test,1
100,13,4,0.2292029,test,1
101,13,5,0.28272215,test,1
102,14,1,0.54345596,test,1
103,14,2,0.63842255,test,1
104,14,3,0.622423,test,1
105,14,4,0.6627353,test,1
106,14,5,0.67341346,test,1
107,15,1,0.74514425,test,1
108,15,2,0.75669515,test,1
109,15,3,0.8684291,test,1
110,15,4,0.87386143,test,1
111,15,5,0.9073003,test,1
112,16,1,0.84369147,test,1
113,16,2,0.90068626,test,1
114,16,3,0.95192295,test,1
115,16,4,0.9813226,test,1
116,11,1,0.025748108,train,2
117,11,2,0.051970392,train,2
118,11,3,0.010355452,train,2
119,11,4,0.0076424154,train,2
120,11,5,0.018526614,train,2
121,12,1,0.08307493,train,2
122,12,2,0.12218125,train,2
123,12,3,0.06264736,train,2
124,12,4,0.056998827,train,2
125,12,5,0.111124575,train,2
126,13,1,0.27577928,train,2
127,13,2,0.32334456,train,2
128,13,3,0.28588295,train,2
129,13,4,0.2504209,train,2
130,13,5,0.29028863,train,2
131,14,1,0.853106,train,2
132,14,2,0.8667875,train,2
133,14,3,0.8273477,train,2
134,14,4,0.8284913,train,2
135,14,5,0.84663206,train,2
136,15,1,0.9417989,train,2
137,15,2,0.9399492,train,2
138,15,3,0.9571946,train,2
139,15,4,0.96099067,train,2
140,15,5,0.96605766,train,2
141,16,1,0.986444,train,2
142,16,2,0.9800778,train,2
143,16,3,0.987907,train,2
144,16,4,0.9886397,train,2
145,11,1,0.051916204,test,2
146,11,2,0.108856745,test,2
147,11,3,0.017752603,test,2
148,11,4,0.017583463,test,2
149,11,5,0.025844555,test,2
150,12,1,0.19490881,test,2
151,12,2,0.24536483,test,2
152,12,3,0.09817039,test,2
153,12,4,0.11752284,test,2
154,12,5,0.17829226,test,2
155,13,1,0.36354145,test,2
156,13,2,0.48002225,test,2
157,13,3,0.3408179,test,2
158,13,4,0.31112298,test,2
159,13,5,0.38903934,test,2
160,14,1,0.697601,test,2
161,14,2,0.7295639,test,2
162,14,3,0.737831,test,2
163,14,4,0.74648815,test,2
164,14,5,0.74223155,test,2
165,15,1,0.85947776,test,2
166,15,2,0.8722358,test,2
167,15,3,0.9286906,test,2
168,15,4,0.9133244,test,2
169,15,5,0.9407478,test,2
170,16,1,0.96879625,test,2
171,16,2,0.94332784,test,2
172,16,3,0.9728682,test,2
173,16,4,0.9819305,test,2
