set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.0052697468,0.004609051008274757,3
test,1,12,0.035817966,0.01569287510688662,3
test,1,13,0.17667678,0.056665693874164466,3
test,1,14,0.82957274,0.05962147702972577,3
test,1,15,0.9623441,0.01163022398909035,3
test,1,16,0.99764013,0.0009290568052715991,3
test,2,11,0.001539401,0.0020248584292732056,3
test,2,12,0.024169296,0.009392152765164348,3
test,2,13,0.1686019,0.057723299510124615,3
test,2,14,0.8095116,0.03631154700031973,3
test,2,15,0.94940233,0.023308914155665533,3
test,2,16,0.9939185,0.004002306442269991,3
test,3,11,0.00043372458,0.00036698235139562464,3
test,3,12,0.01935607,0.01245044287273994,3
test,3,13,0.11665609,0.06369699931626208,3
test,3,14,0.8475677,0.06614047383711788,3
test,3,15,0.9735375,0.010812782610223587,3
test,3,16,0.99622864,0.0038324942333549197,3
test,4,11,0.00017890637,0.0002931499563524384,3
test,4,12,0.010992306,0.007492622270800198,3
test,4,13,0.08892463,0.040251544837138074,3
test,4,14,0.8651295,0.05697011797229572,3
test,4,15,0.97462916,0.00926784610856525,3
test,4,16,0.9991623,0.0005377363869305644,3
test,5,11,0.00055822724,0.0008050513186367035,3
test,5,12,0.025427278,0.014929636153500922,3
test,5,13,0.15302715,0.07767319507082937,3
test,5,14,0.8834571,0.03863907606923596,3
test,5,15,0.97911686,0.01231552046941722,3
train,1,11,0.0033950862,0.0017003335035212098,3
train,1,12,0.029062087,0.010310112594543985,3
train,1,13,0.12669922,0.06985190379235022,3
train,1,14,0.9042878,0.044853589255050015,3
train,1,15,0.9784312,0.010729386096504393,3
train,1,16,0.9983534,0.001656511579615329,3
train,2,11,0.0023311672,0.001836975123712503,3
train,2,12,0.01755059,0.010505243216541518,3
train,2,13,0.12678373,0.06933053666793892,3
train,2,14,0.86063564,0.05634162825859017,3
train,2,15,0.95974,0.01900924377366809,3
train,2,16,0.99618363,0.0030314966891675774,3
train,3,11,0.0001488007,0.00020659860139235093,3
train,3,12,0.010335165,0.007716439028911943,3
train,3,13,0.096377455,0.07017463747121787,3
train,3,14,0.89582926,0.060592613123212874,3
train,3,15,0.986348,0.01030942890224029,3
train,3,16,0.99738634,0.0025507125294930797,3
train,4,11,0.00013658823,0.00022817894336380268,3
train,4,12,0.00956166,0.006976785679709374,3
train,4,13,0.058158226,0.043802217031990894,3
train,4,14,0.8993509,0.06141400554719338,3
train,4,15,0.98610264,0.00828810676905341,3
train,4,16,0.9987705,0.0017146598990299417,3
train,5,11,0.0010982454,0.0018618082692576253,3
train,5,12,0.014478858,0.013561170093848421,3
train,5,13,0.1007862,0.0768874195478384,3
train,5,14,0.92121273,0.04319966871913777,3
train,5,15,0.99003816,0.0062131123277681735,3
