,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.004237475,train,0
1,11,2,0.0024609931,train,0
2,11,3,5.9861322e-05,train,0
3,11,4,7.712908e-06,train,0
4,11,5,4.1919473e-05,train,0
5,12,1,0.0318887,train,0
6,12,2,0.016601736,train,0
7,12,3,0.01228413,train,0
8,12,4,0.009251317,train,0
9,12,5,0.011797164,train,0
10,13,1,0.12805821,train,0
11,13,2,0.13298896,train,0
12,13,3,0.09650629,train,0
13,13,4,0.05980559,train,0
14,13,5,0.08771905,train,0
15,14,1,0.94887424,train,0
16,14,2,0.91797304,train,0
17,14,3,0.9542918,train,0
18,14,4,0.9635978,train,0
19,14,5,0.96639985,train,0
20,15,1,0.99080586,train,0
21,15,2,0.98108345,train,0
22,15,3,0.9951985,train,0
23,15,4,0.994902,train,0
24,15,5,0.9948686,train,0
25,16,1,0.9999455,train,0
26,16,2,0.999125,train,0
27,16,3,0.9984103,train,0
28,16,4,0.9999003,train,0
29,11,1,0.01020186,test,0
30,11,2,0.00075098686,test,0
31,11,3,0.00059214205,test,0
32,11,4,1.49393345e-05,test,0
33,11,5,0.00019118871,test,0
34,12,1,0.041999735,test,0
35,12,2,0.029623065,test,0
36,12,3,0.029715812,test,0
37,12,4,0.009927181,test,0
38,12,5,0.029060531,test,0
39,13,1,0.20534116,test,0
40,13,2,0.18137379,test,0
41,13,3,0.1416457,test,0
42,13,4,0.10842598,test,0
43,13,5,0.15005745,test,0
44,14,1,0.88423026,test,0
45,14,2,0.84960556,test,0
46,14,3,0.9239158,test,0
47,14,4,0.9308926,test,0
48,14,5,0.92806804,test,0
49,15,1,0.9701626,test,0
50,15,2,0.97281677,test,0
51,15,3,0.98199284,test,0
52,15,4,0.9839777,test,0
53,15,5,0.9932423,test,0
54,16,1,0.99840206,test,0
55,16,2,0.9984323,test,0
56,16,3,0.99665606,test,0
57,16,4,0.999734,test,0
58,11,1,0.0045097694,train,1
59,11,2,0.0040997854,train,1
60,11,3,0.00038497412,train,1
61,11,4,0.00040004597,train,1
62,11,5,0.0032479698,train,1
63,12,1,0.037664074,train,1
64,12,2,0.028498072,train,1
65,12,3,0.016890263,train,1
66,12,4,0.016688438,train,1
67,12,5,0.029180532,train,1
68,13,1,0.19586173,train,1
69,13,2,0.19280307,train,1
70,13,3,0.16648759,train,1
71,13,4,0.10111352,train,1
72,13,5,0.18336985,train,1
73,14,1,0.85917175,train,1
74,14,2,0.8053456,train,1
75,14,3,0.8333104,train,1
76,14,4,0.8412287,train,1
77,14,5,0.8803215,train,1
78,15,1,0.9717234,train,1
79,15,2,0.9446305,train,1
80,15,3,0.9750281,train,1
81,15,4,0.978444,train,1
82,15,5,0.9830291,train,1
83,16,1,0.9984755,train,1
84,16,2,0.9930694,train,1
85,16,3,0.99448276,train,1
86,16,4,0.9967975,train,1
87,11,1,0.0045354655,test,1
88,11,2,0.003839875,test,1
89,11,3,0.0006948891,test,1
90,11,4,0.00051735237,test,1
91,11,5,0.0014813881,test,1
92,12,1,0.047478545,test,1
93,12,2,0.029560592,test,1
94,12,3,0.022808716,test,1
95,12,4,0.018960495,test,1
96,12,5,0.038204953,test,1
97,13,1,0.21328342,test,1
98,13,2,0.21886963,test,1
99,13,3,0.1640691,test,1
100,13,4,0.11571106,test,1
101,13,5,0.2321426,test,1
102,14,1,0.83849496,test,1
103,14,2,0.77883995,test,1
104,14,3,0.81106246,test,1
105,14,4,0.83083236,test,1
106,14,5,0.86176515,test,1
107,15,1,0.9678909,test,1
108,15,2,0.94918984,test,1
109,15,3,0.9613539,test,1
110,15,4,0.9744656,test,1
111,15,5,0.9734775,test,1
112,16,1,0.99791324,test,1
113,16,2,0.9908027,test,1
114,16,3,0.9922004,test,1
115,16,4,0.9986666,test,1
116,11,1,0.0014380142,train,2
117,11,2,0.00043272303,train,2
118,11,3,1.5666429e-06,train,2
119,11,4,2.0058058e-06,train,2
120,11,5,4.8467205e-06,train,2
121,12,1,0.017633487,train,2
122,12,2,0.007551961,train,2
123,12,3,0.0018311021,train,2
124,12,4,0.0027452242,train,2
125,12,5,0.0024588765,train,2
126,13,1,0.05617775,train,2
127,13,2,0.05455916,train,2
128,13,3,0.026138492,train,2
129,13,4,0.013555566,train,2
130,13,5,0.031269714,train,2
131,14,1,0.9048175,train,2
132,14,2,0.85858834,train,2
133,14,3,0.8998856,train,2
134,14,4,0.8932262,train,2
135,14,5,0.91691685,train,2
136,15,1,0.97276443,train,2
137,15,2,0.953506,train,2
138,15,3,0.9888173,train,2
139,15,4,0.98496187,train,2
140,15,5,0.9922167,train,2
141,16,1,0.99663925,train,2
142,16,2,0.99635655,train,2
143,16,3,0.99926597,train,2
144,16,4,0.9996137,train,2
145,11,1,0.0010719151,test,2
146,11,2,2.7341031e-05,test,2
147,11,3,1.41425435e-05,test,2
148,11,4,4.427398e-06,test,2
149,11,5,2.1049789e-06,test,2
150,12,1,0.01797562,test,2
151,12,2,0.013324233,test,2
152,12,3,0.0055436827,test,2
153,12,4,0.0040892446,test,2
154,12,5,0.00901635,test,2
155,13,1,0.11140574,test,2
156,13,2,0.105562285,test,2
157,13,3,0.044253457,test,2
158,13,4,0.042636856,test,2
159,13,5,0.07688139,test,2
160,14,1,0.76599294,test,2
161,14,2,0.80008924,test,2
162,14,3,0.8077248,test,2
163,14,4,0.83366346,test,2
164,14,5,0.8605381,test,2
165,15,1,0.9489789,test,2
166,15,2,0.9262004,test,2
167,15,3,0.9772657,test,2
168,15,4,0.96544415,test,2
169,15,5,0.9706308,test,2
170,16,1,0.99660516,test,2
171,16,2,0.99252045,test,2
172,16,3,0.99982953,test,2
173,16,4,0.9990864,test,2
