type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.498637041736396,0.8052784576687132,0.023951607504448278,0.032507809775085446,0.04533121644520363,0.11758589594958073,0.0014026967956124517,0.0162343326534451,3
1,train,13.466453513096745,0.6741742174654535,0.023082810785092008,0.026923444326166168,0.024150650844813285,0.2399625305355459,0.0003109126152952347,0.0051593804195941805,2
2,test,13.570235478152972,0.8814410561960319,0.026144520786097608,0.038570612965127496,0.09901952838780445,0.0488240043425839,0.0036251648147236377,0.0059398303912054275,3
2,train,13.511888746562166,0.570473549826602,0.021213517869424745,0.038067001774613266,0.06716388149905822,0.1919942655071499,0.006572876476739524,0.008278512063182634,3
3,test,13.542850356019533,0.8102569763774583,0.01398334237545302,0.020420964548874432,0.018005845700424867,0.1060285956277288,0.0068993513782211425,0.0025428478431090817,3
3,train,13.51021458621195,0.6792832779706665,0.010248992434454839,0.023261822424951867,0.044578654690288794,0.13291402645153205,0.00043126754716734994,0.003383223154108983,3
4,test,13.549459452134776,0.7549406895337484,0.010982027749317119,0.027046638852445015,0.0870885145467164,0.09545192522231502,0.0008751966093033077,0.007627404497191981,3
4,train,13.558283355633085,0.6039297783550258,0.01266205045160901,0.025157947242192894,0.07525421579147958,0.13761619906490224,0.0009208450708733647,0.005686968443147026,3
5,test,13.440272963186183,0.8523926969809925,0.03566075640928622,0.02736056640659994,0.012010648697727633,0.11621432298528686,0.01832699715946708,0.020448812249997207,3
5,train,13.465151202166746,0.6223631584912225,0.039719354725752436,0.027191717859221795,0.03392708854526891,0.1374901736148311,0.002269066802161439,0.00782313526801867,3
