,type,mean,var,guess_rate,lapse_rate,model,set,subject
0,1,,,,,,train,0
1,5,13.461425152061937,0.5482728170584437,0.042221832083604895,0.0348006545217311,PsychometricCurve(model='wh'),train,0
2,4,13.54761771977131,0.5387379365768148,0.011738758590401103,0.031719950368229916,PsychometricCurve(model='wh'),train,0
3,3,13.507828087995867,0.6084892089806465,0.010000000000007711,0.026001155097225045,PsychometricCurve(model='wh'),train,0
4,2,13.532934368309222,0.4865682088825968,0.015386509683020279,0.03512535011832433,PsychometricCurve(model='wh'),train,0
5,3,13.562833243831871,0.8673410706999236,0.010000000000000004,0.021813108122387095,PsychometricCurve(model='wh'),test,0
6,2,13.653058098380628,0.8250970540170885,0.029968566264760577,0.043543092834180085,PsychometricCurve(model='wh'),test,0
7,1,13.516215531478203,0.6698169022180596,0.02400082607883142,0.04999999999477062,PsychometricCurve(model='wh'),test,0
8,5,13.428537811317566,0.7688489610193431,0.04979580100509181,0.049999999999688495,PsychometricCurve(model='wh'),test,0
9,4,13.559123329172506,0.7213011868205604,0.010000000019422218,0.03469118126022306,PsychometricCurve(model='wh'),test,0
10,1,13.483530602079181,0.843853350037822,0.023302659203723715,0.03057167720758231,PsychometricCurve(model='wh'),train,1
11,5,13.500787511781375,0.7810081393243102,0.03914032840742962,0.027603824864796633,PsychometricCurve(model='wh'),train,1
12,4,13.638301380620915,0.7620276357600446,0.013580429070798095,0.022093038954776364,PsychometricCurve(model='wh'),train,1
13,3,13.555938554196901,0.8326094788090191,0.010000000000002328,0.019480053003650456,PsychometricCurve(model='wh'),train,1
14,2,13.566009561298433,0.7901386799305411,0.028338575936537,0.047414614773301944,PsychometricCurve(model='wh'),train,1
15,3,13.537831197845003,0.8755132113024469,0.010000000000006457,0.017486025334991148,PsychometricCurve(model='wh'),test,1
16,2,13.597089658487192,0.9112859182746748,0.02570705800375269,0.040175511996731264,PsychometricCurve(model='wh'),test,1
17,1,13.532546353143193,0.8810134950370516,0.022524949199078954,0.029598753100226523,PsychometricCurve(model='wh'),test,1
18,5,13.452541346890266,0.9851101641027664,0.014953981544286689,0.021849976685076166,PsychometricCurve(model='wh'),test,1
19,4,13.631312959201681,0.8626579541762046,0.011679645724156192,0.019436488572404438,PsychometricCurve(model='wh'),test,1
20,1,13.449376424114309,0.504495084893085,0.022862962366460304,0.02327521144475003,PsychometricCurve(model='wh'),train,2
21,5,13.43324094265693,0.5378085190909135,0.037795903686222806,0.019170674191137643,PsychometricCurve(model='wh'),train,2
22,4,13.488930966507027,0.511023762728218,0.01266696369362783,0.021660852403572406,PsychometricCurve(model='wh'),train,2
23,3,13.46687711644308,0.5967511461223338,0.010746977303354477,0.0243042591739801,PsychometricCurve(model='wh'),train,2
24,2,13.436722310078842,0.43471376066666817,0.019915467988716965,0.03166104043221353,PsychometricCurve(model='wh'),train,2
25,3,13.527886626381722,0.6879166471300043,0.021950027126352606,0.02196376018924505,PsychometricCurve(model='wh'),test,2
26,2,13.460558677591097,0.9079401962963318,0.02275793808977955,0.031993234064471146,PsychometricCurve(model='wh'),test,2
27,1,13.447149240587795,0.8650049757510284,0.025329047235434464,0.01792467623025919,PsychometricCurve(model='wh'),test,2
28,5,13.439739731350722,0.8032189658208678,0.04223248667848016,0.010231722535035175,PsychometricCurve(model='wh'),test,2
29,4,13.457942068030142,0.6808629276044804,0.01126643750437294,0.02701224672470755,PsychometricCurve(model='wh'),test,2
