set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.015867919,0.0025429541437277554,3
test,1,12,0.08253863,0.027992288817445882,3
test,1,13,0.2619921,0.038052202780071695,3
test,1,14,0.73506856,0.025420102627937435,3
test,1,15,0.9085878,0.016154382355272327,3
test,1,16,0.985235,0.006103652463080031,3
test,2,11,0.0172947,0.002563803657572449,3
test,2,12,0.0924735,0.0024077345190079906,3
test,2,13,0.2553018,0.04238285380206112,3
test,2,14,0.689219,0.03570009937863612,3
test,2,15,0.89226043,0.010914121294412467,3
test,2,16,0.97192067,0.008030657617807638,3
test,3,11,0.0046749334,0.0024155263204222424,3
test,3,12,0.051653255,0.013563679768615248,3
test,3,13,0.2510981,0.023277236862114345,3
test,3,14,0.7133697,0.033197244954239875,3
test,3,15,0.924536,0.01671810228817566,3
test,3,16,0.98935664,0.0021220653636533225,3
test,4,11,0.006646601,0.0029195866955665233,3
test,4,12,0.04180222,0.01088988924593379,3
test,4,13,0.230522,0.01758967241158325,3
test,4,14,0.720785,0.05325713754080772,3
test,4,15,0.9207587,0.02172793174267584,3
test,4,16,0.9884889,0.0046621737964775214,3
test,5,11,0.0072181607,0.0034269751101639015,3
test,5,12,0.08982018,0.00258823631647063,3
test,5,13,0.3155295,0.008920312551606066,3
test,5,14,0.73697203,0.03201567815896136,3
test,5,15,0.936613,0.022331801607832585,3
train,1,11,0.01093702,0.006319401516952479,3
train,1,12,0.058395017,0.019266330506110044,3
train,1,13,0.2114846,0.0648907464494857,3
train,1,14,0.8139417,0.0740197668148976,3
train,1,15,0.9413653,0.0233395284042571,3
train,1,16,0.9881531,0.005296804732020925,3
train,2,11,0.012217842,0.0055074343885697105,3
train,2,12,0.048014812,0.026439637942310218,3
train,2,13,0.18279345,0.0465724326755346,3
train,2,14,0.79657066,0.08485184612686743,3
train,2,15,0.9249939,0.0319941393632898,3
train,2,16,0.9866669,0.008708626261502383,3
train,3,11,0.00340012,0.002964802583460475,3
train,3,12,0.03639679,0.008329738210468353,3
train,3,13,0.22337991,0.024436819482651376,3
train,3,14,0.7596181,0.05140767531749127,3
train,3,15,0.9392842,0.012979612331171867,3
train,3,16,0.9918472,0.0028350729100873957,3
train,4,11,0.0044132126,0.0031004498129984658,3
train,4,12,0.035238996,0.007651396801266582,3
train,4,13,0.17828853,0.021826765003962703,3
train,4,14,0.7618888,0.0746091202887942,3
train,4,15,0.9431932,0.01699441210614228,3
train,4,16,0.9914106,0.0042469608943698405,3
train,5,11,0.009639565,0.004226049457323414,3
train,5,12,0.059936292,0.012326585153634807,3
train,5,13,0.24750738,0.028921235101563046,3
train,5,14,0.79619867,0.05908914803932648,3
train,5,15,0.96200997,0.016731125869004687,3
