,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.007825769,train,0
1,11,2,0.008579102,train,0
2,11,3,0.0019165173,train,0
3,11,4,0.0036141158,train,0
4,11,5,0.008062625,train,0
5,12,1,0.042209916,train,0
6,12,2,0.028127352,train,0
7,12,3,0.029469524,train,0
8,12,4,0.028697034,train,0
9,12,5,0.055560753,train,0
10,13,1,0.15328453,train,0
11,13,2,0.14458396,train,0
12,13,3,0.20222743,train,0
13,13,4,0.15809684,train,0
14,13,5,0.22638118,train,0
15,14,1,0.86576927,train,0
16,14,2,0.8061328,train,0
17,14,3,0.7767925,train,0
18,14,4,0.77919143,train,0
19,14,5,0.8151257,train,0
20,15,1,0.94767207,train,0
21,15,2,0.9395587,train,0
22,15,3,0.94318265,train,0
23,15,4,0.938421,train,0
24,15,5,0.96233493,train,0
25,16,1,0.98692626,train,0
26,16,2,0.9914057,train,0
27,16,3,0.99383646,train,0
28,16,4,0.9944881,train,0
29,11,1,0.015831267,test,0
30,11,2,0.014358058,test,0
31,11,3,0.0031874548,test,0
32,11,4,0.006450576,test,0
33,11,5,0.0077531724,test,0
34,12,1,0.05537842,test,0
35,12,2,0.09104709,test,0
36,12,3,0.04102073,test,0
37,12,4,0.029866097,test,0
38,12,5,0.09215667,test,0
39,13,1,0.22091463,test,0
40,13,2,0.2154674,test,0
41,13,3,0.25731704,test,0
42,13,4,0.21323901,test,0
43,13,5,0.30652875,test,0
44,14,1,0.7452721,test,0
45,14,2,0.66183734,test,0
46,14,3,0.6911431,test,0
47,14,4,0.7209305,test,0
48,14,5,0.7471505,test,0
49,15,1,0.8956817,test,0
50,15,2,0.8927462,test,0
51,15,3,0.90803075,test,0
52,15,4,0.9052556,test,0
53,15,5,0.9267947,test,0
54,16,1,0.981921,test,0
55,16,2,0.9654592,test,0
56,16,3,0.98924,test,0
57,16,4,0.9938429,test,0
58,11,1,0.018208845,train,1
59,11,2,0.018554015,train,1
60,11,3,0.006813858,train,1
61,11,4,0.0078349905,train,1
62,11,5,0.01442734,train,1
63,12,1,0.079705864,train,1
64,12,2,0.07801898,train,1
65,12,3,0.045639202,train,1
66,12,4,0.04365254,train,1
67,12,5,0.07385375,train,1
68,13,1,0.28145483,train,1
69,13,2,0.2346704,train,1
70,13,3,0.25012982,train,1
71,13,4,0.20144689,train,1
72,13,5,0.28046915,train,1
73,14,1,0.7291692,train,1
74,14,2,0.7073428,train,1
75,14,3,0.70182186,train,1
76,14,4,0.6801486,train,1
77,14,5,0.729965,train,1
78,15,1,0.9155205,train,1
79,15,2,0.88830864,train,1
80,15,3,0.9248021,train,1
81,15,4,0.92909503,train,1
82,15,5,0.9451187,train,1
83,16,1,0.9835774,train,1
84,16,2,0.9766165,train,1
85,16,3,0.98860097,train,1
86,16,4,0.9865653,train,1
87,11,1,0.018429002,test,1
88,11,2,0.018438691,test,1
89,11,3,0.0074620335,test,1
90,11,4,0.0096592605,test,1
91,11,5,0.010346164,test,1
92,12,1,0.08094274,test,1
93,12,2,0.09112001,test,1
94,12,3,0.04701033,test,1
95,12,4,0.051196128,test,1
96,12,5,0.08703806,test,1
97,13,1,0.26902333,test,1
98,13,2,0.25059748,test,1
99,13,3,0.2706342,test,1
100,13,4,0.22992389,test,1
101,13,5,0.32436714,test,1
102,14,1,0.706132,test,1
103,14,2,0.67622316,test,1
104,14,3,0.6974361,test,1
105,14,4,0.6674553,test,1
106,14,5,0.7011045,test,1
107,15,1,0.90337735,test,1
108,15,2,0.88111156,test,1
109,15,3,0.92411816,test,1
110,15,4,0.9114269,test,1
111,15,5,0.92087245,test,1
112,16,1,0.9815051,test,1
113,16,2,0.9693913,test,1
114,16,3,0.98729527,test,1
115,16,4,0.9862989,test,1
116,11,1,0.006776449,train,2
117,11,2,0.009520408,train,2
118,11,3,0.0014699844,train,2
119,11,4,0.0017905311,train,2
120,11,5,0.0064287297,train,2
121,12,1,0.05326927,train,2
122,12,2,0.0378981,train,2
123,12,3,0.03408165,train,2
124,12,4,0.03336742,train,2
125,12,5,0.050394367,train,2
126,13,1,0.19971442,train,2
127,13,2,0.16912599,train,2
128,13,3,0.21778248,train,2
129,13,4,0.17532186,train,2
130,13,5,0.23567179,train,2
131,14,1,0.84688675,train,2
132,14,2,0.8762364,train,2
133,14,3,0.8002399,train,2
134,14,4,0.8263264,train,2
135,14,5,0.8435053,train,2
136,15,1,0.9609034,train,2
137,15,2,0.9471142,train,2
138,15,3,0.9498678,train,2
139,15,4,0.9620635,train,2
140,15,5,0.97857624,train,2
141,16,1,0.9939557,train,2
142,16,2,0.9919785,train,2
143,16,3,0.9931042,train,2
144,16,4,0.9931784,train,2
145,11,1,0.01334349,test,2
146,11,2,0.01908735,test,2
147,11,3,0.0033753123,test,2
148,11,4,0.0038299665,test,2
149,11,5,0.0035551463,test,2
150,12,1,0.11129472,test,2
151,12,2,0.09525339,test,2
152,12,3,0.06692871,test,2
153,12,4,0.044344433,test,2
154,12,5,0.09026579,test,2
155,13,1,0.2960383,test,2
156,13,2,0.29984057,test,2
157,13,3,0.225343,test,2
158,13,4,0.2484031,test,2
159,13,5,0.31569257,test,2
160,14,1,0.7538016,test,2
161,14,2,0.72959656,test,2
162,14,3,0.75153005,test,2
