type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,13.656746183192007,0.9150275548152416,0.011411895517041483,0.044381406883768626,0.08018229625403189,0.09967138983303686,0.002445474720271671,0.006684456771469816,3
1,train,13.593616703244848,0.42697088733861666,0.012460568473635424,0.04395710956441942,0.06870940067067845,0.01728974581475236,0.0034797692932032665,0.004517785188453906,2
2,test,13.71438254937216,0.9250592323479164,0.013663182911669175,0.03910910182556244,0.09233131687033193,0.1198150220072221,0.006344818918132271,0.018863588977893413,3
2,train,13.595756884864315,0.4299887430159992,0.01188139160941133,0.043886958480340514,0.08356027638184797,0.025029054434507172,0.0016768634893755156,0.01058809850081566,3
3,test,13.750611920117363,0.7211730294217585,0.010000000001960318,0.03445216447087204,0.1280724202485787,0.037342839578002246,2.437360977076601e-12,0.013605542603002204,3
3,train,13.665875118019807,0.4659579988340585,0.010000000000935374,0.028901087944937287,0.12007187636273567,0.09222715585884148,1.6161810120647974e-12,0.010669965155181893,3
4,test,13.719901334405483,0.6466905571379591,0.010000000000044232,0.040803446629657986,0.11872869579600828,0.022088877964071125,4.3507984845946836e-14,0.008810633953265352,3
4,train,13.684775938379934,0.42523369429170077,0.010000000000064098,0.030414083225051212,0.10732714109066005,0.07992302761345052,1.0983011695850955e-13,0.008946978064247282,3
5,test,13.66532458864981,0.6765342052007283,0.029274020165205337,0.03423654460435504,0.12845595652374192,0.0796984383489215,0.018642630438398877,0.02126807236117935,3
5,train,13.621579507383762,0.46714134339262126,0.0165076526292781,0.026762182272266132,0.09961531189856414,0.07359403398316566,0.0062762332933336985,0.009543874628593343,3
