set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.006454904,0.004519948544452,3
test,1,12,0.056247193,0.022305265874339935,3
test,1,13,0.21687983,0.03007732492055979,3
test,1,14,0.65708244,0.035846256555893304,3
test,1,15,0.8477113,0.039141039709491274,3
test,1,16,0.9705074,0.013025413010465645,3
test,2,11,0.00762491,0.0062534190062853824,3
test,2,12,0.05661579,0.013965486035187089,3
test,2,13,0.20571586,0.061707843890620055,3
test,2,14,0.633876,0.02739203132295542,3
test,2,15,0.85531497,0.055623241640639406,3
test,2,16,0.95431864,0.02899639644947271,3
test,3,11,0.0011874636,0.000770981403807701,3
test,3,12,0.020601025,0.013843177417771642,3
test,3,13,0.14075771,0.04866766454080876,3
test,3,14,0.6372583,0.06316225085296404,3
test,3,15,0.8811511,0.04477291960810176,3
test,3,16,0.98413426,0.013871750927943365,3
test,4,11,0.0008522916,0.0010802277196953443,3
test,4,12,0.01628029,0.009614084843358746,3
test,4,13,0.12921447,0.03942434246020233,3
test,4,14,0.6576443,0.06591847271010953,3
test,4,15,0.89564985,0.02714389855502184,3
test,4,16,0.98587257,0.009280222713995276,3
test,5,11,0.00055078976,0.0005097887343230774,3
test,5,12,0.043919414,0.023982370942592358,3
test,5,13,0.18259987,0.046309114092577326,3
test,5,14,0.67575467,0.07601531244246944,3
test,5,15,0.9380359,0.013341166283941226,3
train,1,11,0.004714025,0.0013235378200426124,3
train,1,12,0.026551528,0.007183394718110433,3
train,1,13,0.09816253,0.026772725979876594,3
train,1,14,0.8190462,0.04730205051094837,3
train,1,15,0.94234437,0.01686967509189443,3
train,1,16,0.9871668,0.0076405708015827075,3
train,2,11,0.0046285084,0.0038070381235912974,3
train,2,12,0.019432923,0.00959058490491169,3
train,2,13,0.09229282,0.030833229964788343,3
train,2,14,0.7905513,0.056993221486066746,3
train,2,15,0.92370677,0.017063894616881063,3
train,2,16,0.9862081,0.008830939185087589,3
train,3,11,0.00040091324,0.00015081954021750398,3
train,3,12,0.010153576,0.0021620413782954474,3
train,3,13,0.08447271,0.03576227821821608,3
train,3,14,0.7477866,0.09951318215127682,3
train,3,15,0.9395812,0.024306752799407152,3
train,3,16,0.99464786,0.0037992015244095014,3
train,4,11,0.0004132531,7.289819915151698e-05,3
train,4,12,0.008582784,0.0044977901638681575,3
train,4,13,0.06398909,0.03150332075922092,3
train,4,14,0.75109655,0.08983052484587611,3
train,4,15,0.94175303,0.01782260657414247,3
train,4,16,0.99545014,0.0025037409708076413,3
train,5,11,0.0008023249,0.0009889134135424003,3
train,5,12,0.021255782,0.00806670930534068,3
train,5,13,0.106374085,0.04167028997738968,3
train,5,14,0.7730563,0.0812630355515675,3
train,5,15,0.970258,0.011976513764844184,3
