,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.0059578083,train,0
1,11,2,0.003882804,train,0
2,11,3,0.00023294303,train,0
3,11,4,0.0003324383,train,0
4,11,5,0.0004766292,train,0
5,12,1,0.028591335,train,0
6,12,2,0.028999059,train,0
7,12,3,0.012132072,train,0
8,12,4,0.012375412,train,0
9,12,5,0.028765094,train,0
10,13,1,0.11188726,train,0
11,13,2,0.109608166,train,0
12,13,3,0.112007536,train,0
13,13,4,0.086999245,train,0
14,13,5,0.13815872,train,0
15,14,1,0.8692861,train,0
16,14,2,0.8497244,train,0
17,14,3,0.8562764,train,0
18,14,4,0.8489826,train,0
19,14,5,0.86253226,train,0
20,15,1,0.96172327,train,0
21,15,2,0.9433172,train,0
22,15,3,0.9664666,train,0
23,15,4,0.9623168,train,0
24,15,5,0.98385185,train,0
25,16,1,0.9938585,train,0
26,16,2,0.996359,train,0
27,16,3,0.99885553,train,0
28,16,4,0.99800014,train,0
29,11,1,0.003493113,test,0
30,11,2,0.014601492,test,0
31,11,3,0.00042441676,test,0
32,11,4,0.00033678787,test,0
33,11,5,0.00061887316,test,0
34,12,1,0.07166012,test,0
35,12,2,0.06741057,test,0
36,12,3,0.027351161,test,0
37,12,4,0.025793668,test,0
38,12,5,0.06832091,test,0
39,13,1,0.22046182,test,0
40,13,2,0.2318089,test,0
41,13,3,0.18792419,test,0
42,13,4,0.17308456,test,0
43,13,5,0.22862096,test,0
44,14,1,0.6982433,test,0
45,14,2,0.6649994,test,0
46,14,3,0.708854,test,0
47,14,4,0.73307574,test,0
48,14,5,0.76350754,test,0
49,15,1,0.8896721,test,0
50,15,2,0.91841114,test,0
51,15,3,0.9228765,test,0
52,15,4,0.92432475,test,0
53,15,5,0.9497469,test,0
54,16,1,0.98517346,test,0
55,16,2,0.98505574,test,0
56,16,3,0.99610925,test,0
57,16,4,0.9944643,test,0
58,11,1,0.004861227,train,1
59,11,2,0.008753224,train,1
60,11,3,0.00052472344,train,1
61,11,4,0.00043326747,train,1
62,11,5,0.0019130079,train,1
63,12,1,0.032494422,train,1
64,12,2,0.019481637,train,1
65,12,3,0.010482882,train,1
66,12,4,0.009759271,train,1
67,12,5,0.022273911,train,1
68,13,1,0.1152898,train,1
69,13,2,0.11057624,train,1
70,13,3,0.09735704,train,1
71,13,4,0.07688398,train,1
72,13,5,0.1217662,train,1
73,14,1,0.8124855,train,1
74,14,2,0.78590745,train,1
75,14,3,0.66074926,train,1
76,14,4,0.67243373,train,1
77,14,5,0.7038393,train,1
78,15,1,0.9309433,train,1
79,15,2,0.91224325,train,1
80,15,3,0.91915995,train,1
81,15,4,0.93076825,train,1
82,15,5,0.96126056,train,1
83,16,1,0.9788416,train,1
84,16,2,0.9802933,train,1
85,16,3,0.9936191,train,1
86,16,4,0.9929954,train,1
87,11,1,0.011657463,test,1
88,11,2,0.005749297,test,1
89,11,3,0.0011718322,test,1
90,11,4,0.0020937019,test,1
91,11,5,0.0010231156,test,1
92,12,1,0.06641127,test,1
93,12,2,0.061593328,test,1
94,12,3,0.029774275,test,1
95,12,4,0.016478632,test,1
96,12,5,0.043057956,test,1
97,13,1,0.24500577,test,1
98,13,2,0.2500908,test,1
99,13,3,0.14363264,test,1
100,13,4,0.11780747,test,1
101,13,5,0.18317063,test,1
102,14,1,0.6402823,test,1
103,14,2,0.6134334,test,1
104,14,3,0.61350226,test,1
105,14,4,0.62874985,test,1
106,14,5,0.63358253,test,1
107,15,1,0.84127367,test,1
108,15,2,0.83416414,test,1
109,15,3,0.88672435,test,1
110,15,4,0.8922715,test,1
111,15,5,0.94084793,test,1
112,16,1,0.9602863,test,1
113,16,2,0.92745167,test,1
114,16,3,0.9873596,test,1
115,16,4,0.9871228,test,1
116,11,1,0.00332304,train,2
117,11,2,0.0012494964,train,2
118,11,3,0.0004450733,train,2
119,11,4,0.0004740535,train,2
120,11,5,1.7337637e-05,train,2
121,12,1,0.018568827,train,2
122,12,2,0.009818074,train,2
123,12,3,0.007845772,train,2
124,12,4,0.0036136706,train,2
125,12,5,0.012728341,train,2
126,13,1,0.06731053,train,2
