,agg_y_rate,type,preds_dec,set,subject,model_name,dataset_name
0,11,1,2.9607122e-07,train,0,early_integration,easy
1,11,2,7.0094865e-07,train,0,early_integration,easy
2,11,3,1.3213673e-10,train,0,early_integration,easy
3,11,4,8.479915e-11,train,0,early_integration,easy
4,11,5,6.868609e-11,train,0,early_integration,easy
5,12,1,0.0019855178,train,0,early_integration,easy
6,12,2,0.00394368,train,0,early_integration,easy
7,12,3,7.4155746e-06,train,0,early_integration,easy
8,12,4,1.3354205e-05,train,0,early_integration,easy
9,12,5,0.000107840555,train,0,early_integration,easy
10,13,1,0.025251241,train,0,early_integration,easy
11,13,2,0.041819327,train,0,early_integration,easy
12,13,3,0.014524116,train,0,early_integration,easy
13,13,4,0.012429212,train,0,early_integration,easy
14,13,5,0.012845228,train,0,early_integration,easy
15,14,1,0.96531004,train,0,early_integration,easy
16,14,2,0.97172856,train,0,early_integration,easy
17,14,3,0.98630345,train,0,early_integration,easy
18,14,4,0.9858766,train,0,early_integration,easy
19,14,5,0.9803374,train,0,early_integration,easy
20,15,1,0.9989148,train,0,early_integration,easy
21,15,2,0.9952019,train,0,early_integration,easy
22,15,3,0.99849135,train,0,early_integration,easy
23,15,4,0.9993018,train,0,early_integration,easy
24,15,5,0.9998473,train,0,early_integration,easy
25,16,1,0.99999994,train,0,early_integration,easy
26,16,2,0.9999975,train,0,early_integration,easy
27,16,3,0.99999994,train,0,early_integration,easy
28,16,4,0.9999999,train,0,early_integration,easy
29,11,1,6.5563086e-08,test,0,early_integration,easy
30,11,2,4.3772197e-05,test,0,early_integration,easy
31,11,3,7.4271915e-11,test,0,early_integration,easy
32,11,4,2.8594924e-10,test,0,early_integration,easy
33,11,5,3.5097487e-11,test,0,early_integration,easy
34,12,1,0.004792629,test,0,early_integration,easy
35,12,2,0.0074639353,test,0,early_integration,easy
36,12,3,2.8797585e-05,test,0,early_integration,easy
37,12,4,3.6014946e-05,test,0,early_integration,easy
38,12,5,0.0007766395,test,0,early_integration,easy
39,13,1,0.084799804,test,0,early_integration,easy
40,13,2,0.08624549,test,0,early_integration,easy
41,13,3,0.043300804,test,0,early_integration,easy
42,13,4,0.025084164,test,0,early_integration,easy
43,13,5,0.02294219,test,0,early_integration,easy
44,14,1,0.8839508,test,0,early_integration,easy
