type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,14.590254517384707,4.367751563176253,0.03666666666771568,0.023333339899353028,0.7207043089395299,0.6958053798746746,0.02309401075979983,0.023094005078546826,3
1,train,13.691668971360558,1.1516185589820573,0.048411735977662025,0.049999999999854126,0.30346580055264977,0.5817161304586113,0.0027509539824420105,2.5262772093810704e-13,3
2,test,13.731460095317493,3.979708724567191,0.010000019097597885,0.04999999594852917,0.34143942655025855,0.4823822474105215,3.297892105066754e-08,7.017140146289922e-09,3
2,train,13.580563593804506,1.2194002966696376,0.04999999999994273,0.049999999985059496,0.05476419753113233,0.6636562882396767,9.919232446648852e-14,2.5877605327463355e-11,3
3,test,13.908623322711579,2.7949887181649857,0.029955463148413523,0.03666666667398859,0.13654737976390616,0.3498706746580736,0.020000148739761876,0.023094010754181632,3
3,train,13.589447831494354,1.192384576521327,0.04846644402886734,0.04999999999913496,0.12755711690063531,0.7342975516210315,0.0026561968581598986,1.11998951647834e-12,3
4,test,14.178041413853498,3.2485962121797396,0.02704852139961897,0.04201023355946443,0.22820127384202277,0.7379563351645831,0.02064300554101701,0.013838679495794254,3
4,train,13.70832306694258,0.867883255871617,0.04964421207650514,0.04999999999999995,0.1963057072273412,0.4663103127141583,0.0005031601067349826,7.601177430610147e-17,2
5,test,13.815732436869618,3.025218826084228,0.0347877607766592,0.03666666684508308,0.1839621497729364,0.5363034651380949,0.015443213075502433,0.023094010261730108,3
5,train,13.585522145572114,1.2066415768681058,0.049999999999986534,0.03666666668573001,0.08655355650901513,0.8258635150552631,2.2770584305838264e-14,0.023094010734512734,3
