set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.22697805,0.07901950105035749,3
test,1,12,0.29081053,0.06258132054896902,3
test,1,13,0.37574002,0.07329502209852216,3
test,1,14,0.4884718,0.05657126977803652,3
test,1,15,0.54198885,0.07191550982716745,3
test,1,16,0.62066096,0.11865915817269801,3
test,2,11,0.23650116,0.026252720295086285,3
test,2,12,0.31027052,0.022250868044599623,3
test,2,13,0.4280709,0.02251678056437693,3
test,2,14,0.5137671,0.0460435361156124,3
test,2,15,0.5937734,0.057709892006032756,3
test,2,16,0.6775693,0.031160810640104553,3
test,3,11,0.17123179,0.019968852085987178,3
test,3,12,0.25455052,0.036821647842529226,3
test,3,13,0.37247476,0.03857920830796823,3
test,3,14,0.52221715,0.042121763298862615,3
test,3,15,0.6434852,0.033967506192363495,3
test,3,16,0.7401176,0.06054723913102017,3
test,4,11,0.17284273,0.02624671873083458,3
test,4,12,0.26199627,0.03479053512779336,3
test,4,13,0.3553866,0.028731421178456635,3
test,4,14,0.47707576,0.04297517297140804,3
test,4,15,0.6018298,0.06143339117610888,3
test,4,16,0.68690705,0.0737412629216658,3
test,5,11,0.2007696,0.05343027076421623,3
test,5,12,0.29238093,0.037051872873419434,3
test,5,13,0.39031696,0.03973079725222248,3
test,5,14,0.5379436,0.025623726457768194,3
test,5,15,0.6327971,0.06881566165173775,3
train,1,11,0.10066855,0.03571646139447895,3
train,1,12,0.15086505,0.06144631495604861,3
train,1,13,0.22532141,0.12301087068907632,3
train,1,14,0.67135125,0.09235914394424032,3
train,1,15,0.7819648,0.037481895454682786,3
train,1,16,0.8370553,0.028893847802343383,3
train,2,11,0.10871822,0.026273852397822685,3
train,2,12,0.17532146,0.05325109005435661,3
train,2,13,0.26368362,0.1030073467946766,3
train,2,14,0.7082339,0.06302287046550582,3
train,2,15,0.7844608,0.03390152418714937,3
train,2,16,0.8598287,0.008798156990170045,3
train,3,11,0.09271383,0.044100654587442736,3
train,3,12,0.1537001,0.08164913875345685,3
train,3,13,0.2644034,0.11317349916748871,3
train,3,14,0.6926236,0.08432695467042885,3
train,3,15,0.7915188,0.04294102355167665,3
train,3,16,0.85167354,0.014519350236267548,3
train,4,11,0.09923012,0.045296568992146215,3
train,4,12,0.15326679,0.07142793590034185,3
train,4,13,0.25499475,0.10524020968667656,3
train,4,14,0.66291296,0.0991129141084947,3
train,4,15,0.7544999,0.045424331366481205,3
train,4,16,0.8437174,0.032969769510447215,3
train,5,11,0.13615663,0.05102274711813384,3
train,5,12,0.18110076,0.08176736943524497,3
train,5,13,0.27687088,0.12008306135671513,3
train,5,14,0.6829755,0.0902632042637799,3
train,5,15,0.807436,0.04771623540606136,3
