,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.13911772,train,0
1,11,2,0.1351136,train,0
2,11,3,0.14325008,train,0
3,11,4,0.15153337,train,0
4,11,5,0.19412233,train,0
5,12,1,0.22000232,train,0
6,12,2,0.2317491,train,0
7,12,3,0.24736133,train,0
8,12,4,0.23556615,train,0
9,12,5,0.27495348,train,0
10,13,1,0.3664442,train,0
11,13,2,0.36196217,train,0
12,13,3,0.38855118,train,0
13,13,4,0.37368703,train,0
14,13,5,0.41037896,train,0
15,14,1,0.65653634,train,0
16,14,2,0.6548006,train,0
17,14,3,0.63278097,train,0
18,14,4,0.5782527,train,0
19,14,5,0.619638,train,0
20,15,1,0.78745246,train,0
21,15,2,0.74981475,train,0
22,15,3,0.74483895,train,0
23,15,4,0.7105053,train,0
24,15,5,0.75689083,train,0
25,16,1,0.8605732,train,0
26,16,2,0.851498,train,0
27,16,3,0.8380141,train,0
28,16,4,0.8058224,train,0
29,11,1,0.2653743,test,0
30,11,2,0.22370645,test,0
31,11,3,0.19305736,test,0
32,11,4,0.19023867,test,0
33,11,5,0.24365863,test,0
34,12,1,0.34150168,test,0
35,12,2,0.3285143,test,0
36,12,3,0.27034247,test,0
37,12,4,0.27171317,test,0
38,12,5,0.31516346,test,0
39,13,1,0.4424048,test,0
40,13,2,0.44021893,test,0
41,13,3,0.4004022,test,0
42,13,4,0.38642198,test,0
43,13,5,0.4357417,test,0
44,14,1,0.5516166,test,0
45,14,2,0.5636019,test,0
46,14,3,0.56570745,test,0
47,14,4,0.5230786,test,0
48,14,5,0.56752944,test,0
49,15,1,0.61921155,test,0
50,15,2,0.6524095,test,0
51,15,3,0.6824668,test,0
52,15,4,0.6626827,test,0
53,15,5,0.6961694,test,0
54,16,1,0.74300635,test,0
55,16,2,0.71340144,test,0
56,16,3,0.809484,test,0
57,16,4,0.76206064,test,0
58,11,1,0.09436341,train,1
59,11,2,0.0825676,train,1
60,11,3,0.07287099,train,1
61,11,4,0.073317476,train,1
62,11,5,0.11630087,train,1
63,12,1,0.13010497,train,1
64,12,2,0.12595062,train,1
65,12,3,0.09752805,train,1
66,12,4,0.116814025,train,1
67,12,5,0.12524958,train,1
68,13,1,0.16872218,train,1
69,13,2,0.15652272,train,1
70,13,3,0.16699202,train,1
71,13,4,0.17307407,train,1
72,13,5,0.1776879,train,1
73,14,1,0.77022237,train,1
74,14,2,0.7777354,train,1
75,14,3,0.789067,train,1
76,14,4,0.7719353,train,1
77,14,5,0.7863291,train,1
78,15,1,0.8164003,train,1
79,15,2,0.8175652,train,1
80,15,3,0.8293389,train,1
81,15,4,0.8012303,train,1
82,15,5,0.85170144,train,1
83,16,1,0.8457912,train,1
84,16,2,0.86902964,train,1
85,16,3,0.85008436,train,1
86,16,4,0.85950583,train,1
87,11,1,0.2794624,test,1
88,11,2,0.21909879,test,1
89,11,3,0.16676015,test,1
90,11,4,0.18563722,test,1
91,11,5,0.21773331,test,1
92,12,1,0.31006572,test,1
93,12,2,0.285481,test,1
94,12,3,0.28084219,test,1
95,12,4,0.2908953,test,1
96,12,5,0.31235138,test,1
97,13,1,0.3875631,test,1
98,13,2,0.402089,test,1
99,13,3,0.38856763,test,1
100,13,4,0.35002267,test,1
101,13,5,0.37317064,test,1
102,14,1,0.47138587,test,1
103,14,2,0.47280675,test,1
104,14,3,0.4816123,test,1
105,14,4,0.4701885,test,1
106,14,5,0.52343893,test,1
107,15,1,0.5298223,test,1
108,15,2,0.5370366,test,1
109,15,3,0.6202373,test,1
110,15,4,0.53983194,test,1
111,15,5,0.55959517,test,1
112,16,1,0.6129083,test,1
113,16,2,0.65681773,test,1
114,16,3,0.69787174,test,1
115,16,4,0.6146643,test,1
116,11,1,0.06852453,train,2
117,11,2,0.10847344,train,2
118,11,3,0.06202043,train,2
119,11,4,0.07283952,train,2
120,11,5,0.09804668,train,2
121,12,1,0.102487825,train,2
122,12,2,0.16826466,train,2
123,12,3,0.11621093,train,2
124,12,4,0.10742019,train,2
125,12,5,0.14309922,train,2
126,13,1,0.14079784,train,2
127,13,2,0.27256593,train,2
128,13,3,0.237667,train,2
129,13,4,0.21822318,train,2
130,13,5,0.2425458,train,2
131,14,1,0.58729506,train,2
132,14,2,0.69216573,train,2
133,14,3,0.65602297,train,2
134,14,4,0.63855094,train,2
135,14,5,0.64295936,train,2
136,15,1,0.7420415,train,2
137,15,2,0.78600234,train,2
138,15,3,0.8003785,train,2
139,15,4,0.7517642,train,2
140,15,5,0.81371576,train,2
141,16,1,0.8048016,train,2
142,16,2,0.8589584,train,2
143,16,3,0.8669221,train,2
144,16,4,0.86582404,train,2
145,11,1,0.13609745,test,2
146,11,2,0.26669824,test,2
147,11,3,0.15387785,test,2
148,11,4,0.14265229,test,2
149,11,5,0.14091685,test,2
150,12,1,0.2208642,test,2
151,12,2,0.31681624,test,2
152,12,3,0.21246691,test,2
153,12,4,0.22338034,test,2
154,12,5,0.24962792,test,2
155,13,1,0.29725218,test,2
156,13,2,0.4419048,test,2
157,13,3,0.32845443,test,2
158,13,4,0.32971516,test,2
159,13,5,0.36203852,test,2
160,14,1,0.4424129,test,2
161,14,2,0.50489265,test,2
162,14,3,0.5193317,test,2
163,14,4,0.43796012,test,2
164,14,5,0.5228624,test,2
165,15,1,0.47693264,test,2
166,15,2,0.5918742,test,2
167,15,3,0.6277514,test,2
168,15,4,0.60297483,test,2
169,15,5,0.64262676,test,2
170,16,1,0.5060682,test,2
171,16,2,0.66248876,test,2
172,16,3,0.712997,test,2
173,16,4,0.68399626,test,2
