type,set,mean_mean,var_mean,guess_rate_mean,lapse_rate_mean,mean_std,var_std,guess_rate_std,lapse_rate_std,n
1,test,14.325045498481623,5.070990807197597,0.03666666668286952,0.02333333333836579,0.46952034070721604,0.12232888124176415,0.02309401073951974,0.023094010763226144,3
1,train,13.640285058307489,2.20766409074103,0.04953286272239365,0.04999999999967467,0.09331597645430886,1.6239550898385546,0.0008091054989235958,5.634300705775054e-13,3
2,test,14.27389384176282,4.788730414542817,0.01082830297728566,0.0366666698797305,0.7100841511138343,0.5063259709267247,0.0014346608475572157,0.023094005199809343,3
2,train,13.652537120421117,1.9832888830153816,0.03666666800790972,0.04999999999968402,0.16954700074074835,1.2662585869110998,0.023094008444483904,5.472907044620534e-13,3
3,test,14.145429020513868,3.7057540709768073,0.03666666720569963,0.010337198291589807,0.5063755922421671,0.3795445465361606,0.023094009833819824,0.0005839765386969377,3
3,train,13.625551253492233,1.9317590055825118,0.03666666669178254,0.04999999999999588,0.2434725342734124,1.05753338336131,0.02309401072408276,6.510004658110011e-15,3
4,test,13.833256232783432,3.62758074534006,0.023333332668582358,0.040271913889578397,0.5455479768021313,0.13160222472457367,0.02309400961071004,0.016849539403603047,3
4,train,13.575985768957057,2.23680339955318,0.04999999132806676,0.0499999999614659,0.16758937744835903,1.1660507520568535,1.2263797662776606e-08,5.448705597679318e-11,2
5,test,13.423346336612992,3.7195532896384615,0.023333333372569768,0.04999998798278935,0.5741724691644279,0.42374211921769234,0.023094009193591673,2.0723008362885024e-08,3
5,train,13.430043492845797,1.749271510375246,0.04999999999667726,0.04999999806678851,0.2938321349089482,1.0690170776291696,5.755117342814695e-12,3.347622095445713e-09,3
