set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.28811315,0.023807770769121803,3
test,1,12,0.33834702,0.02850503107271211,3
test,1,13,0.4003727,0.041754481906252285,3
test,1,14,0.4809459,0.05283183845141884,3
test,1,15,0.5622137,0.03283635741959764,3
test,1,16,0.63011086,0.03479536673299152,3
test,2,11,0.24380164,0.02175229928757052,3
test,2,12,0.31228194,0.03360739395784872,3
test,2,13,0.3952155,0.039517800298743036,3
test,2,14,0.48366576,0.04077525047406572,3
test,2,15,0.53403175,0.07469588412944438,3
test,2,16,0.62307376,0.04705599662343564,3
test,3,11,0.23203918,0.03085648233661908,3
test,3,12,0.30388877,0.0518745574679685,3
test,3,13,0.37997213,0.0481325830543735,3
test,3,14,0.5176426,0.032526828911629134,3
test,3,15,0.5925659,0.03473823596759958,3
test,3,16,0.69458437,0.024310473794418804,3
test,4,11,0.22742628,0.03671652639688458,3
test,4,12,0.30361098,0.04011950350242162,3
test,4,13,0.41237748,0.0536643464651023,3
test,4,14,0.5080805,0.0403313588969409,3
test,4,15,0.6183691,0.04814613972331995,3
test,4,16,0.6889308,0.02827143434439633,3
test,5,11,0.2497328,0.05067311295512343,3
test,5,12,0.3558936,0.04756523383855782,3
test,5,13,0.43948686,0.048816097981960904,3
test,5,14,0.5561682,0.03581688937847875,3
test,5,15,0.6216415,0.05348616620499075,3
train,1,11,0.17611615,0.09919762839410706,3
train,1,12,0.22351106,0.11933213678615465,3
train,1,13,0.3052045,0.10658530572795058,3
train,1,14,0.6458814,0.08019467026046224,3
train,1,15,0.7350935,0.09677690511790073,3
train,1,16,0.79314274,0.08984059870983513,3
train,2,11,0.14475417,0.08082401851747775,3
train,2,12,0.2035799,0.10145664944863637,3
train,2,13,0.2877745,0.11304804464114869,3
train,2,14,0.64794624,0.07022847160338382,3
train,2,15,0.729184,0.07215488636949366,3
train,2,16,0.79954666,0.06895712417423386,3
train,3,11,0.13619277,0.07859968740093007,3
train,3,12,0.20286646,0.10262280103011594,3
train,3,13,0.30062076,0.10546040618863965,3
train,3,14,0.6369505,0.040364586067005374,3
train,3,15,0.73632115,0.0558924975151221,3
train,3,16,0.80556744,0.0573961858856346,3
train,4,11,0.15003227,0.08607855757167318,3
train,4,12,0.20553154,0.10045221837248916,3
train,4,13,0.32842395,0.10236538340759851,3
train,4,14,0.6263848,0.046281368852594096,3
train,4,15,0.7321724,0.04308649926767675,3
train,4,16,0.8137094,0.051566246158338276,3
train,5,11,0.17486452,0.09232846894046993,3
train,5,12,0.24305175,0.1095577693108302,3
train,5,13,0.34460995,0.11721453796422833,3
train,5,14,0.655742,0.02801969482669566,3
train,5,15,0.7623374,0.05985584591626063,3
