,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.118245274,train,0
1,11,2,0.0948155,train,0
2,11,3,0.08660849,train,0
3,11,4,0.09934348,train,0
4,11,5,0.11047964,train,0
5,12,1,0.15794095,train,0
6,12,2,0.14623895,train,0
7,12,3,0.13667998,train,0
8,12,4,0.14301294,train,0
9,12,5,0.16795117,train,0
10,13,1,0.24715827,train,0
11,13,2,0.21437685,train,0
12,13,3,0.22540632,train,0
13,13,4,0.25379685,train,0
14,13,5,0.25979614,train,0
15,14,1,0.64700645,train,0
16,14,2,0.69007736,train,0
17,14,3,0.6507234,train,0
18,14,4,0.6376382,train,0
19,14,5,0.6561252,train,0
20,15,1,0.7758487,train,0
21,15,2,0.7643754,train,0
22,15,3,0.7612193,train,0
23,15,4,0.75154966,train,0
24,15,5,0.7923069,train,0
25,16,1,0.83275086,train,0
26,16,2,0.83708686,train,0
27,16,3,0.8327814,train,0
28,16,4,0.83202636,train,0
29,11,1,0.28028125,test,0
30,11,2,0.22347856,test,0
31,11,3,0.21224104,test,0
32,11,4,0.19348885,test,0
33,11,5,0.25647065,test,0
34,12,1,0.31797296,test,0
35,12,2,0.29623976,test,0
36,12,3,0.25971967,test,0
37,12,4,0.27819425,test,0
38,12,5,0.33367446,test,0
39,13,1,0.38475463,test,0
40,13,2,0.3738584,test,0
41,13,3,0.35403726,test,0
42,13,4,0.37384915,test,0
43,13,5,0.39415273,test,0
44,14,1,0.4204206,test,0
45,14,2,0.46751615,test,0
46,14,3,0.48467007,test,0
47,14,4,0.49679628,test,0
48,14,5,0.531468,test,0
49,15,1,0.52441853,test,0
50,15,2,0.49438605,test,0
51,15,3,0.55644304,test,0
52,15,4,0.57223725,test,0
53,15,5,0.5600555,test,0
54,16,1,0.6275153,test,0
55,16,2,0.59696007,test,0
56,16,3,0.66909313,test,0
57,16,4,0.6613781,test,0
58,11,1,0.2906576,train,1
59,11,2,0.23800322,train,1
60,11,3,0.22681773,train,1
61,11,4,0.24942058,train,1
62,11,5,0.28064695,train,1
63,12,1,0.36125124,train,1
64,12,2,0.32072333,train,1
65,12,3,0.32108286,train,1
66,12,4,0.321403,train,1
67,12,5,0.3687657,train,1
68,13,1,0.4282138,train,1
69,13,2,0.41795835,train,1
70,13,3,0.42116764,train,1
71,13,4,0.44512117,train,1
72,13,5,0.4783635,train,1
73,14,1,0.5651301,train,1
74,14,2,0.5668743,train,1
75,14,3,0.591502,train,1
76,14,4,0.57551444,train,1
77,14,5,0.62753266,train,1
78,15,1,0.62460464,train,1
79,15,2,0.64618564,train,1
80,15,3,0.67230624,train,1
81,15,4,0.6827996,train,1
82,15,5,0.6934166,train,1
83,16,1,0.69030416,train,1
84,16,2,0.71996427,train,1
85,16,3,0.7396262,train,1
86,16,4,0.7554852,train,1
87,11,1,0.31485027,test,1
88,11,2,0.26674566,test,1
89,11,3,0.26759264,test,1
90,11,4,0.26640162,test,1
91,11,5,0.2966999,test,1
92,12,1,0.37092176,test,1
93,12,2,0.35090438,test,1
94,12,3,0.3610131,test,1
95,12,4,0.34986135,test,1
96,12,5,0.41050243,test,1
97,13,1,0.44768482,test,1
98,13,2,0.44081628,test,1
99,13,3,0.4355105,test,1
100,13,4,0.47367185,test,1
101,13,5,0.49116468,test,1
102,14,1,0.5045965,test,1
103,14,2,0.5300422,test,1
104,14,3,0.5497046,test,1
105,14,4,0.5528521,test,1
106,14,5,0.5972459,test,1
107,15,1,0.58373225,test,1
108,15,2,0.62019193,test,1
109,15,3,0.6257303,test,1
110,15,4,0.66830397,test,1
111,15,5,0.65645236,test,1
112,16,1,0.6661313,test,1
113,16,2,0.6773959,test,1
114,16,3,0.7175107,test,1
115,16,4,0.71786994,test,1
116,11,1,0.11944557,train,2
117,11,2,0.10144381,train,2
118,11,3,0.09515208,train,2
119,11,4,0.101332724,train,2
