set,type,agg_y_rate,preds_dec_mean,preds_dec_std,preds_dec_n
test,1,11,0.2592525,0.027144173496938945,3
test,1,12,0.31542075,0.026992533438863774,3
test,1,13,0.35831177,0.014096805488108264,3
test,1,14,0.46045056,0.006138235283121359,3
test,1,15,0.5209631,0.040746997972178574,3
test,1,16,0.5842145,0.03971189683081373,3
test,2,11,0.22565712,0.038002492451489525,3
test,2,12,0.29151848,0.014219410135596137,3
test,2,13,0.33304286,0.014923744598744003,3
test,2,14,0.43478543,0.015255739285926408,3
test,2,15,0.4794122,0.012193400824947938,3
test,2,16,0.5487507,0.05230049620387868,3
test,3,11,0.18571302,0.019500684578608995,3
test,3,12,0.23735546,0.040187037673616734,3
test,3,13,0.3317563,0.042223671026101015,3
test,3,14,0.43805924,0.0036885296605050524,3
test,3,15,0.56933093,0.008957221706007726,3
test,3,16,0.60552084,0.007264518001717098,3
test,4,11,0.18696082,0.013214130151680489,3
test,4,12,0.22670427,0.002192541446284627,3
test,4,13,0.37003905,0.027348942876112337,3
test,4,14,0.42054862,0.01702091366179078,3
test,4,15,0.56988907,0.01420958669790418,3
test,4,16,0.62883,0.033751970266698364,3
test,5,11,0.20132346,0.015283758049959125,3
test,5,12,0.2978817,0.03146499418231003,3
test,5,13,0.3684598,0.022981250795375986,3
test,5,14,0.47087675,0.033451037140995024,3
test,5,15,0.5408804,0.01926469531331901,3
train,1,11,0.11526856,0.0012898609771312807,3
train,1,12,0.13650133,0.012102785064598283,3
train,1,13,0.19432117,0.05725628229675582,3
train,1,14,0.71412057,0.07753956610244611,3
train,1,15,0.78832185,0.012025083796496378,3
train,1,16,0.8349495,0.006548538939124801,3
train,2,11,0.09590508,0.01668060049193837,3
train,2,12,0.120362304,0.007896911252639837,3
train,2,13,0.16915599,0.03388070654613774,3
train,2,14,0.6720194,0.07783996130704056,3
train,2,15,0.7700226,0.02861201563876979,3
train,2,16,0.82182926,0.012956007477126712,3
train,3,11,0.07238491,0.006830708238597516,3
train,3,12,0.10361271,0.005210891799292465,3
train,3,13,0.17184769,0.05242740231922342,3
train,3,14,0.70438945,0.08027248212782695,3
train,3,15,0.78827244,0.041689798440108,3
train,3,16,0.83717287,0.0165676709711759,3
train,4,11,0.08204292,0.007686317122474067,3
train,4,12,0.110405006,0.01622339936860895,3
train,4,13,0.17627184,0.040746475254634505,3
train,4,14,0.6899975,0.07009756952685192,3
train,4,15,0.777968,0.03753201462169196,3
train,4,16,0.84660006,0.013511114392758379,3
train,5,11,0.10612946,0.013873364412697164,3
train,5,12,0.12759595,0.02342133754390986,3
train,5,13,0.18184474,0.04023467761634137,3
train,5,14,0.70131165,0.07721501458296841,3
train,5,15,0.8313621,0.04109356265869707,3
