,agg_y_rate,type,preds_dec,set,subject
0,11,1,0.1137794,train,0
1,11,2,0.10978955,train,0
2,11,3,0.06492567,train,0
3,11,4,0.073173895,train,0
4,11,5,0.091368,train,0
5,12,1,0.13474567,train,0
6,12,2,0.11206282,train,0
7,12,3,0.10245963,train,0
8,12,4,0.09339995,train,0
9,12,5,0.111354254,train,0
10,13,1,0.16441293,train,0
11,13,2,0.13901477,train,0
12,13,3,0.13399903,train,0
13,13,4,0.14388216,train,0
14,13,5,0.14666075,train,0
15,14,1,0.7524808,train,0
16,14,2,0.68454206,train,0
17,14,3,0.71836734,train,0
18,14,4,0.7002404,train,0
19,14,5,0.7224294,train,0
20,15,1,0.78926194,train,0
21,15,2,0.77667457,train,0
22,15,3,0.79362327,train,0
23,15,4,0.7851994,train,0
24,15,5,0.8309226,train,0
25,16,1,0.841162,train,0
26,16,2,0.8354169,train,0
27,16,3,0.8362078,train,0
28,16,4,0.84544474,train,0
29,11,1,0.27390918,test,0
30,11,2,0.24748407,test,0
31,11,3,0.19983354,test,0
32,11,4,0.18189688,test,0
33,11,5,0.19320567,test,0
34,12,1,0.2866535,test,0
35,12,2,0.2812868,test,0
36,12,3,0.19838096,test,0
37,12,4,0.22626649,test,0
38,12,5,0.26675653,test,0
39,13,1,0.35449797,test,0
40,13,2,0.32110935,test,0
41,13,3,0.3253432,test,0
42,13,4,0.36081377,test,0
43,13,5,0.34369966,test,0
44,14,1,0.4675374,test,0
45,14,2,0.43707383,test,0
46,14,3,0.43386298,test,0
47,14,4,0.40311325,test,0
48,14,5,0.445851,test,0
49,15,1,0.50900257,test,0
50,15,2,0.47683543,test,0
51,15,3,0.5706178,test,0
52,15,4,0.5560158,test,0
53,15,5,0.5257493,test,0
54,16,1,0.56540984,test,0
55,16,2,0.53683746,test,0
56,16,3,0.59718734,test,0
57,16,4,0.63650495,test,0
58,11,1,0.116036795,train,1
59,11,2,0.077401765,train,1
60,11,3,0.078334525,train,1
61,11,4,0.086186275,train,1
62,11,5,0.1188995,train,1
63,12,1,0.14938605,train,1
64,12,2,0.12778315,train,1
65,12,3,0.109303564,train,1
66,12,4,0.1257134,train,1
67,12,5,0.15444417,train,1
68,13,1,0.26033804,train,1
69,13,2,0.20582595,train,1
70,13,3,0.23168951,train,1
71,13,4,0.22202098,train,1
72,13,5,0.22571209,train,1
73,14,1,0.6248779,train,1
74,14,2,0.58867735,train,1
75,14,3,0.61804605,train,1
76,14,4,0.615342,train,1
77,14,5,0.6157349,train,1
78,15,1,0.7758543,train,1
79,15,2,0.7386705,train,1
80,15,3,0.74416554,train,1
81,15,4,0.7373465,train,1
82,15,5,0.7904901,train,1
83,16,1,0.82811004,train,1
84,16,2,0.8096142,train,1
85,16,3,0.8211088,train,1
86,16,4,0.8337037,train,1
87,11,1,0.22793055,test,1
88,11,2,0.18177582,test,1
89,11,3,0.1634628,test,1
90,11,4,0.1770276,test,1
91,11,5,0.19181147,test,1
92,12,1,0.31941545,test,1
93,12,2,0.2855133,test,1
94,12,3,0.23503123,test,1
95,12,4,0.22908267,test,1
96,12,5,0.29721266,test,1
97,13,1,0.34651425,test,1
98,13,2,0.34977585,test,1
99,13,3,0.29310602,test,1
100,13,4,0.34849572,test,1
101,13,5,0.37257302,test,1
102,14,1,0.45700923,test,1
103,14,2,0.4487677,test,1
104,14,3,0.4407889,test,1
105,14,4,0.42141023,test,1
106,14,5,0.45790914,test,1
107,15,1,0.5663518,test,1
108,15,2,0.4687131,test,1
109,15,3,0.55979985,test,1
110,15,4,0.5692388,test,1
111,15,5,0.5625674,test,1
112,16,1,0.62983596,test,1
113,16,2,0.6059801,test,1
114,16,3,0.610517,test,1
115,16,4,0.5919015,test,1
116,11,1,0.11598947,train,2
117,11,2,0.10052392,train,2
118,11,3,0.07389454,train,2
119,11,4,0.08676859,train,2
120,11,5,0.10812087,train,2
121,12,1,0.12537225,train,2
122,12,2,0.12124095,train,2
123,12,3,0.09907494,train,2
124,12,4,0.11210168,train,2
125,12,5,0.11698943,train,2
126,13,1,0.15821253,train,2
127,13,2,0.16262722,train,2
128,13,3,0.1498545,train,2
129,13,4,0.1629124,train,2
130,13,5,0.17316139,train,2
131,14,1,0.7650029,train,2
132,14,2,0.7428389,train,2
133,14,3,0.77675503,train,2
134,14,4,0.7544101,train,2
135,14,5,0.76577073,train,2
136,15,1,0.7998493,train,2
137,15,2,0.7947227,train,2
138,15,3,0.82702845,train,2
139,15,4,0.81135815,train,2
140,15,5,0.8726737,train,2
141,16,1,0.8355764,train,2
142,16,2,0.82045674,train,2
143,16,3,0.854202,train,2
144,16,4,0.86065173,train,2
145,11,1,0.2759177,test,2
146,11,2,0.24771148,test,2
147,11,3,0.19384272,test,2
148,11,4,0.20195796,test,2
149,11,5,0.21895327,test,2
150,12,1,0.34019333,test,2
151,12,2,0.3077553,test,2
152,12,3,0.27865416,test,2
153,12,4,0.22476365,test,2
154,12,5,0.32967585,test,2
155,13,1,0.3739231,test,2
156,13,2,0.3282434,test,2
157,13,3,0.37681964,test,2
158,13,4,0.40080768,test,2
159,13,5,0.38910666,test,2
160,14,1,0.45680505,test,2
161,14,2,0.41851476,test,2
162,14,3,0.43952584,test,2
163,14,4,0.43712234,test,2
164,14,5,0.5088701,test,2
165,15,1,0.48753482,test,2
166,15,2,0.49268803,test,2
167,15,3,0.5775751,test,2
168,15,4,0.58441263,test,2
169,15,5,0.5343244,test,2
170,16,1,0.5573978,test,2
171,16,2,0.50343454,test,2
172,16,3,0.6088581,test,2
173,16,4,0.65808356,test,2
